,Country Code,Marca,Modelo,Modelo alfanumérico,category,name,quantity_available,Currency,original_price,offer_price,sales,date_scraped,scrape_link,level_13,Specification Value
0,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,state,None
1,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Línea,Series 8
2,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Color,Negro
3,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Voltaje,110V/220V
4,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Con USB,Sí
5,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Con HDMI,Sí
6,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Tipo de pantalla,LED
7,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Tamaño de la pantalla,"65 """
8,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Tipo de resolución,4K
9,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Con HDR,Sí
10,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Es smart,Sí
11,EC,Samsung,UN65BU8000,UN65BU8000,Televisores,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,1,U$S,,879,100,22/03/2023 09:38:46,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,Es 3D,No
