,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Frecuencia,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Con entrada S/PDIF,Con entrada de antena RF,Países con control mágico incluido,Ángulo de visión horizontal,Ángulo de visión vertical,Con VGA,Cantidad de núcleos del procesador,Frecuencia de actualización de la pantalla,Capacidad de almacenamiento,Con entrada por video compuesto,Relación de contraste,Brillo,Tiempo de respuesta,Con entrada por video componentes
23,"Smart TV LG AI ThinQ 65UP7750PSB LED 4K 65"" 100V/240V",EC,None,Televisores,U$S,,799,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-lg-ai-thinq-65up7750psb-led-4k-65-100v240v/p/MEC18453147?pdp_filters=category:MEC1002#searchVariation=MEC18453147&position=3&search_layout=stack&type=product&t,22/03/2023 09:45:42,LG,AI ThinQ,65UP7750,65UP7750PSB,,100V/240V,Sí,Sí,LED,"65 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,webOS 6.0,,,Sí,1454 mm x 57.5 mm x 838 mm,21.38 kg,"Control remoto, Cable de alimentación, Tornillos, Baterías, Manual",Sí,Sí,"ThinQ AI, Google Assistant, Alexa","Netflix, Disney+, Apple TV, Prime Video, Music Player, LG Content Store, Web browser, LG ThinQ",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital, Ultra Surround, AI Sound",1454 mm,269 mm,906 mm,21.72 kg,Sí,Sí,Brasil,,,,4,60 Hz,,,,,,
24,"Smart TV Samsung Series 8 UN60AU8000GXZS LED 4K 60"" 100V/240V",EC,None,Televisores,U$S,,782,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-8-un60au8000gxzs-led-4k-60-100v240v/p/MEC18476766?pdp_filters=category:MEC1002#searchVariation=MEC18476766&position=4&search_layout=stack&type=p,22/03/2023 09:45:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Smart TV Samsung Series 4 UN32T4300AGXZS LED HD 32"" 100V/240V",EC,None,Televisores,U$S,,245,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300agxzs-led-hd-32-100v240v/p/MEC16268691?pdp_filters=category:MEC1002#searchVariation=MEC16268691&position=6&search_layout=stack&type=p,22/03/2023 09:45:54,Samsung,Series 4,UN32T4300A,UN32T4300AGXZS,,100V/240V,Sí,Sí,LED,"32 """,HD,Sí,Sí,,,,,Tizen,Sí,,,737.4 mm x 74.1 mm x 438 mm,4 kg,"Baterías, Cable de alimentación, Control remoto TM1240A",Sí,,,"Web browser, YouTube",1366 px - 768 px,16:9,2,1,Sí,,Sí,2,10 W,Dolby Audio,737.4 mm,150.5 mm,465.4 mm,4.1 kg,Sí,Sí,,,,,,,,Sí,,,,Sí
26,"Smart TV LG AI ThinQ OLED55B9PSB 4K 55"" 100V/240V",EC,5.0,Televisores,U$S,,1269,,100,1,None,1,https://www.mercadolibre.com.ec/smart-tv-lg-ai-thinq-oled55b9psb-4k-55-100v240v/p/MEC15191479?pdp_filters=category:MEC1002#searchVariation=MEC15191479&position=7&search_layout=stack&type=product&track,22/03/2023 09:46:01,LG,AI ThinQ,OLED55B9,OLED55B9PSB,,100V/240V,Sí,Sí,OLED,"55 """,4K,Sí,Sí,,,,,webOS,Sí,Sí,,122.8 cm x 4.7 cm x 70.6 cm,18.9 kg,"Control remoto, Baterías, Cable de alimentación",Sí,Sí,ThinQ AI,"Netflix, Web browser, YouTube",3840 px - 2160 px,16:9,4,3,Sí,Sí,Sí,4,40 W,"Dolby Atmos, Dolby Surround",,,,,,,"Brasil, México, Chile",,,,5,,,,,,1 ms,
27,"Smart TV Samsung Series 7 UN43AU7000GCZB LED 4K 43"" 220V - 240V",EC,None,Televisores,U$S,,399,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-7-un43au7000gczb-led-4k-43-220v-240v/p/MEC18556468?pdp_filters=category:MEC1002#searchVariation=MEC18556468&position=2&search_layout=stack&type=,22/03/2023 09:46:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Smart TV LG AI ThinQ 65UP7750PSB LED 4K 65"" 100V/240V",EC,None,Televisores,U$S,,799,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-lg-ai-thinq-65up7750psb-led-4k-65-100v240v/p/MEC18453147?pdp_filters=category:MEC1002#searchVariation=MEC18453147&position=3&search_layout=stack&type=product&t,22/03/2023 09:46:13,LG,AI ThinQ,65UP7750,65UP7750PSB,,100V/240V,Sí,Sí,LED,"65 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,webOS 6.0,,,Sí,1454 mm x 57.5 mm x 838 mm,21.38 kg,"Control remoto, Cable de alimentación, Tornillos, Baterías, Manual",Sí,Sí,"ThinQ AI, Google Assistant, Alexa","Netflix, Disney+, Apple TV, Prime Video, Music Player, LG Content Store, Web browser, LG ThinQ",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital, Ultra Surround, AI Sound",1454 mm,269 mm,906 mm,21.72 kg,Sí,Sí,Brasil,,,,4,60 Hz,,,,,,
29,"Smart TV Samsung Series 4 UN32T4300AGXZS LED HD 32"" 100V/240V",EC,None,Televisores,U$S,,245,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300agxzs-led-hd-32-100v240v/p/MEC16268691?pdp_filters=category:MEC1002#searchVariation=MEC16268691&position=6&search_layout=stack&type=p,22/03/2023 09:46:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=SF5WtGHPkieFewjzFTZtCd95oxOblQcoQ7XsZwaZU7VcrG38swbPiGK32h%2BSIO34fqBrKcXvluwo29uW2NZVKkb8yw0UIhrMryqJVPXnqVqsUiOZpPX6h9e%2FHWJYjb,22/03/2023 09:46:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Smart TV Samsung Series 7 UN43AU7000GCZB LED 4K 43"" 220V - 240V",EC,None,Televisores,U$S,,399,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-7-un43au7000gczb-led-4k-43-220v-240v/p/MEC18556468?pdp_filters=category:MEC1002#searchVariation=MEC18556468&position=2&search_layout=stack&type=,22/03/2023 09:46:33,Samsung,Series 7,UN43AU7000G,UN43AU7000GCZB,,220V - 240V,Sí,Sí,LED,"43 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,"Smart control TM2140A, Manual, Manual electrónico, Cable de alimentación, Adaptador AV, Baterías",Sí,,,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony",963.9 mm,192.5 mm,627.8 mm,8.3 kg,Sí,Sí,,,,,,,,,,,,
32,"Smart TV Samsung Series 8 UN60AU8000GXZS LED 4K 60"" 100V/240V",EC,None,Televisores,U$S,,782,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-8-un60au8000gxzs-led-4k-60-100v240v/p/MEC18476766?pdp_filters=category:MEC1002#searchVariation=MEC18476766&position=4&search_layout=stack&type=p,22/03/2023 09:46:40,Samsung,Series 8,UN60AU8000G,UN60AU8000GXZS,,100V/240V,Sí,Sí,LED,"60 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,1353 mm x 25.7 mm x 776.8 mm,18.6 kg,"Smart control TM2180A, Baterías, Manual, Manual electrónico, Cable de alimentación",Sí,Sí,Bixby,"Web browser, Gallery, Netflix, Prime Video",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony",,,,,,,,,,,,,,,,,,
