,title,brand,Modelo,avg_price,currency,rating,reviews,scrape_link,scrape_datetime,level_9,0
18,TELEVISOR CHALLENGER  40TO65 BT ANDROID T2 SMART TV 40 PULGADAS ,CHALLENGER,TV 40TO65 BT,1.039.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121610291/TELEVISOR-CHALLENGER-40TO65-BT-ANDROID-T2-SMART-TV-40-PULGADAS/121610292,27/06/2023 08:49:47,Definition,Not Found
19,TELEVISOR CHALLENGER  40TO65 BT ANDROID T2 SMART TV 40 PULGADAS ,CHALLENGER,TV 40TO65 BT,1.039.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121610291/TELEVISOR-CHALLENGER-40TO65-BT-ANDROID-T2-SMART-TV-40-PULGADAS/121610292,27/06/2023 08:49:47,Operating system,Android TV
20,Televisor Samsung 50 pulgadas qled QN50Q60BAKXZL negro ,SAMSUNG,QN50Q60BAKXZL,2.049.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592783/Televisor-Samsung-50-pulgadas-qled-QN50Q60BAKXZL-negro/119592784,27/06/2023 08:50:04,Screen size,50
21,Televisor Samsung 50 pulgadas qled QN50Q60BAKXZL negro ,SAMSUNG,QN50Q60BAKXZL,2.049.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592783/Televisor-Samsung-50-pulgadas-qled-QN50Q60BAKXZL-negro/119592784,27/06/2023 08:50:04,Smart TV,Not Found
22,Televisor Samsung 50 pulgadas qled QN50Q60BAKXZL negro ,SAMSUNG,QN50Q60BAKXZL,2.049.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592783/Televisor-Samsung-50-pulgadas-qled-QN50Q60BAKXZL-negro/119592784,27/06/2023 08:50:04,Definition,Not Found
23,Televisor Samsung 50 pulgadas qled QN50Q60BAKXZL negro ,SAMSUNG,QN50Q60BAKXZL,2.049.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/119592783/Televisor-Samsung-50-pulgadas-qled-QN50Q60BAKXZL-negro/119592784,27/06/2023 08:50:04,Operating system,Tizen
24,Televisor JVC 58 pulgadas LED 4K HDR Smart TV ,JVC,LT-58KD527,1.699.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/65049812/Televisor-JVC-58-pulgadas-LED-4K-HDR-Smart-TV/65049812,27/06/2023 08:50:21,Screen size,58 pulgadas
25,Televisor JVC 58 pulgadas LED 4K HDR Smart TV ,JVC,LT-58KD527,1.699.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/65049812/Televisor-JVC-58-pulgadas-LED-4K-HDR-Smart-TV/65049812,27/06/2023 08:50:21,Smart TV,Sí
26,Televisor JVC 58 pulgadas LED 4K HDR Smart TV ,JVC,LT-58KD527,1.699.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/65049812/Televisor-JVC-58-pulgadas-LED-4K-HDR-Smart-TV/65049812,27/06/2023 08:50:21,Definition,4K HDR
27,Televisor JVC 58 pulgadas LED 4K HDR Smart TV ,JVC,LT-58KD527,1.699.900,$,5.0,2,https://www.falabella.com.co/falabella-co/product/65049812/Televisor-JVC-58-pulgadas-LED-4K-HDR-Smart-TV/65049812,27/06/2023 08:50:21,Operating system,No aplica
28,Televisor Samsung 55 Pulgadas Smart TV 55BU8000 4K-UHD LED ,SAMSUNG,55BU8000,1.799.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121412380/Televisor-Samsung-55-Pulgadas-Smart-TV-55BU8000-4K-UHD-LED/121412381,27/06/2023 08:50:37,Screen size,55
29,Televisor Samsung 55 Pulgadas Smart TV 55BU8000 4K-UHD LED ,SAMSUNG,55BU8000,1.799.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121412380/Televisor-Samsung-55-Pulgadas-Smart-TV-55BU8000-4K-UHD-LED/121412381,27/06/2023 08:50:37,Smart TV,Not Found
30,Televisor Samsung 55 Pulgadas Smart TV 55BU8000 4K-UHD LED ,SAMSUNG,55BU8000,1.799.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121412380/Televisor-Samsung-55-Pulgadas-Smart-TV-55BU8000-4K-UHD-LED/121412381,27/06/2023 08:50:37,Definition,Not Found
31,Televisor Samsung 55 Pulgadas Smart TV 55BU8000 4K-UHD LED ,SAMSUNG,55BU8000,1.799.900,$,Not Found,0,https://www.falabella.com.co/falabella-co/product/121412380/Televisor-Samsung-55-Pulgadas-Smart-TV-55BU8000-4K-UHD-LED/121412381,27/06/2023 08:50:37,Operating system,Android
32,Televisor LG 48 Pulgadas OLED UHD Smart TV OLED48A2 ,LG,OLED48A2PSA.AWC,3.499.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/42127089/Televisor-LG-48-Pulgadas-OLED-UHD-Smart-TV-OLED48A2/42127089,27/06/2023 08:50:55,Screen size,48 pulgadas
