,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Voltaje,Frecuencia,Es smart,Cantidad de núcleos del procesador,Capacidad de almacenamiento,Sistema operativo,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con entrada S/PDIF,Con entrada por video compuesto,Con entrada de antena RF,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Línea,Modelo alfanumérico,Color,Tipo de pantalla,Es 3D,Es curvo,Es portátil,Con sistema de montaje VESA incorporado,Con entrada por video componentes,Países con control mágico incluido,Con apagado automático,Con VGA,Tiempo de respuesta,Duración del producto,Brillo,Ancho x Altura
30,"Smart TV Hyundai HYLED3248AiM HD 32"" 220V",PE,None,Televisores,S/,1099,569,48,100,1,None,,https://www.mercadolibre.com.pe/smart-tv-hyundai-hyled3248aim-hd-32-220v/p/MPE18609104?pdp_filters=category:MPE1002#searchVariation=MPE18609104&position=4&search_layout=stack&type=product&tracking_id=,22/03/2023 12:34:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,None,PE,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=n6s5edOF3R9FnxLf6VFIBbatcOTRKedrpZhQyhUYIZhRB%2B9o7OhMqmyXLaNpHk4h%2BiZGw%2FgpqaRpd8V9T6qmTmD4BS0GudwaQSsCOXTJivcXCRGkIWSM8QPnnEOV,22/03/2023 12:34:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,None,PE,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=NxrmXww3lZ%2B8DSTOLde8NVeEOR5UvbI15TRwUkCT6ODtSodPqK1KmHich%2FMIQjlaA3C72gKnozOSegf5KHiQYjvpxvbJxwKVnTy8BALFLESKHaNXrvhRO5RNOt2QGU,22/03/2023 12:34:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Smart TV Philips 6800 Series 32PHD6825/77 LED HD 32"" 110V/240V",PE,None,Televisores,S/,,749,,5,1,None,,https://www.mercadolibre.com.pe/smart-tv-philips-6800-series-32phd682577-led-hd-32-110v240v/p/MPE18369376?pdp_filters=category:MPE1002#searchVariation=MPE18369376&position=13&search_layout=stack&type=,22/03/2023 12:34:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Smart TV LG AI ThinQ OLED65A1PSA 4K 65"" 100V/240V",PE,None,Televisores,S/,9999,4999,50,1,1,None,,https://www.mercadolibre.com.pe/smart-tv-lg-ai-thinq-oled65a1psa-4k-65-100v240v/p/MPE18482898?pdp_filters=category:MPE1002#searchVariation=MPE18482898&position=14&search_layout=stack&type=product&trac,22/03/2023 12:34:46,LG,OLED65A1,100V/240V,50 Hz x 60 Hz,Sí,4,,webOS 6.0,Sí,Sí,2,1,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,"Google Assistant, Alexa, ThinQ AI","Netflix, HBO Go, Apple TV, Spotify, Movistar Play, Zapping TV, Disney+, LG Content Store, Web browser, LG Channels, Music Player, ThinQ App, YouTube, Gallery","65 """,4K,Sí,3840 px - 2160 px,,,16:9,60 Hz,1449 mm x 46.9 mm x 830 mm,23.7 kg,1449 mm,271 mm,891 mm,24 kg,2,20 W,"AI Sound, Dolby Atmos, AI Acoustic Tuning, OLED Surround, Clear Voice, AI Sound Pro, LG Sound Sync, Dolby Digital, Sound Mode Sync, Sound Share, Sound Alive","Cable de alimentación, Tornillos, Manual, Control remoto, Base, Baterías",AI ThinQ,OLED65A1PSA,,OLED,,,,Sí,,"Brasil, Argentina, Chile, México, Colombia",,No,,,,
35,Televisor Samsung Smart Tv 55  Uhd 4k Un55au7090gxpe,PE,5.0,Televisores,S/,2399,1499,37,100,1,None,12,https://articulo.mercadolibre.com.pe/MPE-608866934-televisor-samsung-smart-tv-55-uhd-4k-un55au7090gxpe-_JM#position=24&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:34:52,Samsung,UN55AU7090G,100V/240V,,Sí,,,,Sí,Sí,,,,,,,,,,,,,"55 """,4K,No,,,,,,,,,,,,,,,,TV,UN55AU7090G,Negro,LED,No,No,No,,,,,,,,,
36,None,PE,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=ts60HAWCMKTaixWy%2F1BRPUKnR56AvfNJSqFMw3nN3H%2FbHIQYfGdKPJF93IG1LdminwNMk3gYrAXnjGaRt4PsdlxF4Q2NP6Jv%2BvQYnApok66UJW0t31R57GOh0X1V,22/03/2023 12:34:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,None,PE,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=3HyeDwYozqL9jd1DfQLcvs41oX%2BrIn%2BeCP4XtRTNkp8tLBvw65NF3FEz7RnZ%2Fe6mAodOUcscT8tIIQdn%2B%2FpsMJ3WC4HYz9oliyXmCeGY2ZMQlB6Lr9yo8Uxh,22/03/2023 12:35:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Samsung Tv 65 Smart Uhd 4k Nuevo Modelo ,PE,None,Televisores,S/,,2599,,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-436918749-samsung-tv-65-smart-uhd-4k-nuevo-modelo-_JM#position=26&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:35:12,Samsung,BU8000,220V,,Sí,,,Tizen,Sí,Sí,3,2,Sí,Sí,,,,,,,,,"65 """,4K,Sí,,,,,,,,,,,,,,Dolby Digital Plus,,Crystal 2022,UN65BU8000,Negro,LED,,,,,,,,,,,,
39,None,PE,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=aOt5vGHntugtAzPgmOBpGqrnlFn%2BimEGx0kjDjY7XwXlJuCOXYMxH4GxeYvO4d9M6izqt0pDL%2Fg4V55900k72RZ2P%2BYCOiiByw2xJsZ7HLDfrvVpUxdxNYO0nOmY,22/03/2023 12:35:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,None,PE,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=V6nAACSl07odwZzzDCRJZmhUumwxeSL4gqaPsNjgGihxfQwKi1DrVAH08oLh4n4vBkbNpODheIpNh%2Fst%2FfMWmURkozdY6VNY3%2BDqT0up32d5kivV1DkolkA46vsc,22/03/2023 12:35:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Tv 55 Smart Uhd 4ktv Digital Wifi Nuevos Sellados ,PE,None,Televisores,S/,,1399,,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-437347448-tv-55-smart-uhd-4ktv-digital-wifi-nuevos-sellados-_JM#position=34&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:35:33,Samsung,UN55AU7000G,220V,,Sí,,,Vidaa,Sí,Sí,3,1,Sí,Sí,,,,,,,,,"55 """,4K,,,,,,,,,,,,,,,,,TV,UN55AU7000G,Negro,LED,No,No,No,,,,,,,,,
42,Xiaomi Mi Tv P1 55 ,PE,None,Televisores,S/,2299,1499,34,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-626174623-xiaomi-mi-tv-p1-55-_JM#position=35&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:35:40,Xiaomi,Mi TV P1 55,100V/240V,50 Hz x 60 Hz,Sí,4,16 GB,Android 10,Sí,Sí,3,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Google Assistant,"Netflix,Prime Video","55 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,60 Hz,1234.9 mm x 89.2 mm x 724.6 mm,11.7 kg,1234.9 mm,285.3 mm,782.2 mm,11.9 kg,2,20 W,"DTS-HD,Dolby Audio","Base,Cable de alimentación,Control remoto,Manual,Tornillos",P1,,,,,,,,,,,,,,,
43,Televisor Sony 55'' 4k Uhd Hdr Google Tv Smart Tv Kd-55x85j,PE,None,Televisores,S/,5299,3999,24,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-447568394-televisor-sony-55-4k-uhd-hdr-google-tv-smart-tv-kd-55x85j-_JM#position=37&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d,22/03/2023 12:35:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Smart TV Samsung Series 4 UN32T4300AGXUG LED HD 32"" 100V/240V",PE,None,Televisores,S/,,869,,1,1,None,,https://www.mercadolibre.com.pe/smart-tv-samsung-series-4-un32t4300agxug-led-hd-32-100v240v/p/MPE17974125?pdp_filters=category:MPE1002#searchVariation=MPE17974125&position=17&search_layout=stack&type=,22/03/2023 12:35:51,Samsung,UN32T4300,100V/240V,50 Hz x 60 Hz,Sí,,,Tizen,Sí,Sí,2,1,Sí,No,Sí,,,,Sí,,,"Gallery, Web browser, Netflix, Prime Video, Hulu, Apple TV, Disney+, Google Play Movies & TV, Vudu, YouTube, YouTube TV, ESPN","32 """,HD,Sí,1366 px - 768 px,,,16:9,,737.4 mm x 74.1 mm x 438 mm,4 kg,,,,,2,10 W,Dolby Digital Plus,"Control remoto TM1240A, Baterías, Manual, Manual electrónico, Cable de alimentación",Series 4,UN32T4300AGXUG,,LED,,No,,Sí,,,Sí,,,,,
45,Tv Samsung 43 Uhd 4k Smart Tv Digital Nuevo Modelo,PE,4.7,Televisores,S/,,1399,,25,1,None,3,https://articulo.mercadolibre.com.pe/MPE-438739407-tv-samsung-43-uhd-4k-smart-tv-digital-nuevo-modelo-_JM#position=38&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:35:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,X80k | 4k Ultra Hd | Alto Rango Dinámico (hdr) | Smart Tv ,PE,None,Televisores,S/,3899,3099,20,1,1,None,,https://articulo.mercadolibre.com.pe/MPE-615917414-x80k-4k-ultra-hd-alto-rango-dinamico-hdr-smart-tv-_JM#position=40&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:36:04,Sony,KD-55X80K,220V,,Sí,,,,Sí,Sí,,,,,,,,,,,,,"55 """,4K,Sí,,,,,,,,,,,,,,,,No aplica,KD-55X80K,Negro,LCD,No,No,No,,,,,,,7 días,,
47,Tv Hisense Led A6h 70  Ultra Hd Smart,PE,None,Televisores,S/,2999,1699,43,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-624640073-tv-hisense-led-a6h-70-ultra-hd-smart-_JM#position=41&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:36:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tv 55 Samsung Uhd 4k Nuevo Modelo Sellados ,PE,5.0,Televisores,S/,,1599,,5,1,None,1,https://articulo.mercadolibre.com.pe/MPE-435397049-tv-55-samsung-uhd-4k-nuevo-modelo-sellados-_JM#position=42&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:36:15,Samsung,UN55AU7090,220V,,Sí,,,,Sí,Sí,,,Sí,Sí,Sí,,,,,,,,"55 """,4K,,,,,,,,,,,,,,,,,TV,UN55AU7090G,Negro,LED,No,No,No,,,,,,,,,
49,X85k | 4k Ultra Hd | Alto Rango Dinámico (hdr) | Smart Tv,PE,None,Televisores,S/,7499,6499,13,1,1,None,,https://articulo.mercadolibre.com.pe/MPE-615774116-x85k-4k-ultra-hd-alto-rango-dinamico-hdr-smart-tv-_JM#position=47&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:36:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
