,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Voltaje,Frecuencia,Es smart,Cantidad de núcleos del procesador,Capacidad de almacenamiento,Sistema operativo,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con entrada S/PDIF,Con entrada por video compuesto,Con entrada de antena RF,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Línea,Modelo alfanumérico,Color,Tipo de pantalla,Es 3D,Es curvo,Es portátil,Con sistema de montaje VESA incorporado,Con entrada por video componentes,Países con control mágico incluido,Con apagado automático,Con VGA,Tiempo de respuesta,Duración del producto,Brillo,Ancho x Altura
10,Televisor Samsung Smart Tv 50'' Crystal Uhd 4k Un50bu8000gxp,PE,2.6,Televisores,S/,2099,1649,21,25,1,None,5,https://articulo.mercadolibre.com.pe/MPE-621001950-televisor-samsung-smart-tv-50-crystal-uhd-4k-un50bu8000gxp-_JM#position=22&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83,22/03/2023 12:31:17,Samsung,Smart TV,,,Sí,,,,,,,,,,,,,,,,,,"50 """,,,,,,,,,,,,,,,,,,The Frame,Samsung,,,,,,,,,,,,,,
11,Televisor Xiaomi 32  Hd P1 L32m6 Mtk,PE,4.7,Televisores,S/,899,499,44,100,1,None,3,https://articulo.mercadolibre.com.pe/MPE-609352058-televisor-xiaomi-32-hd-p1-l32m6-mtk-_JM#position=23&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:31:24,Xiaomi,TV032XIA04,autovoltaje,,Sí,,,,Sí,Sí,,,,,,,,,,,,,"32 """,HD,Sí,,,,,,,,,,,,,,,,P1,TV032XIA04,Negro,LCD,No,No,No,,,,,,,,,
12,Televisor Xiaomi 32  Hd P1 L32m6 Mtk,PE,5.0,Televisores,S/,899,499,44,50,1,None,4,https://articulo.mercadolibre.com.pe/MPE-609352078-televisor-xiaomi-32-hd-p1-l32m6-mtk-_JM#position=25&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:31:40,Xiaomi,TV032XIA04,Autovoltaje,,Sí,,,,Sí,Sí,,,,,,,,,,,,,"32 """,HD,Sí,,,,,,,,,,,,,,,,P1,TV032XIA04,Negro,LCD,No,No,No,,,,,,,,,
13,"Smart TV LG AI ThinQ 60UP7750PSB LCD 4K 60"" 100V/240V",PE,5.0,Televisores,S/,2999,2849,5,5,1,None,1,https://www.mercadolibre.com.pe/smart-tv-lg-ai-thinq-60up7750psb-lcd-4k-60-100v240v/p/MPE18517645?pdp_filters=category:MPE1002#searchVariation=MPE18517645&position=15&search_layout=stack&type=product&,22/03/2023 12:31:44,LG,60UP7750,100V/240V,50 Hz x 60 Hz,Sí,4,,webOS 6.0,Sí,Sí,3,2,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,"ThinQ AI, Google Assistant, Alexa","Web browser, Apple TV, Disney+, Netflix, HBO Go, Spotify, Movistar Play, Zapping TV, LG Content Store, Music Player","60 """,4K,Sí,3840 px - 2160 px,,,16:9,60 Hz,1356 mm x 57.5 mm x 783 mm,17.1 kg,1356 mm,269 mm,852 mm,17.4 kg,2,20 W,"Ultra Surround, Clear Voice, AI Sound, AI Acoustic Tuning, Clear Voice III, AI Sound Pro","Cable de alimentación, Control remoto, Base, Baterías, Tornillos, Manual",AI ThinQ,60UP7750PSB,,LCD,,,,Sí,,"Colombia, Chile, Brasil, Argentina",Sí,No,,,,
14,Tv Samsung Ultra Hd 70'' Smart Tv Thinq Ai Un70au7000gxpe,PE,None,Televisores,S/,,2899,,5,1,None,,https://www.mercadolibre.com.pe/tv-samsung-ultra-hd-70-smart-tv-thinq-ai-un70au7000gxpe/p/MPE21340536?pdp_filters=category:MPE1002#searchVariation=MPE21340536&position=16&search_layout=stack&type=prod,22/03/2023 12:31:47,Samsung,UN70AU7000G,100V/240V,,Sí,,,,,,,,,,,,,,,,,,"70 """,,,,,,,,,,,,,,,,,,Series 7,UN70AU7000G,Negro,LED,No,No,No,,,,,,,,,
15,Xiaomi Mi Tv P1 E 65  Lm // Tienda Oficial ,PE,5.0,Televisores,S/,2349,1959,16,5,1,None,2,https://articulo.mercadolibre.com.pe/MPE-617964658-xiaomi-mi-tv-p1-e-65-lm-tienda-oficial-_JM#position=27&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:31:54,Xiaomi,P1 E,,,Sí,4,,Android TV,,Sí,,,Sí,Sí,Sí,,,,,,,,"65 """,4K,,,,,,,,18.4 kg,,,,,,,,,Mi,,Negro,4k,,No,No,,,,,,,,,
16,X90k | Bravia Xr | Full Array Led | 4k Ultra Hd | Smart Tv ,PE,None,Televisores,S/,5299,4599,13,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-615872138-x90k-bravia-xr-full-array-led-4k-ultra-hd-smart-tv-_JM#position=28&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:31:58,Sony,XR-55X90K,220V,,Sí,,,,Sí,Sí,,,,,,,,,,,,,"55 """,4K,Sí,,,,,,,,,,,,,,,,No aplca,XR-55X90K,Negro,LCD,No,No,No,,,,,,8.5 ms,7 días,,
17,Televisor Samsung Smart Tv 43  Qled 4k Qn43q65bagxpe (2022),PE,None,Televisores,S/,1999,1519,24,5,1,None,,https://articulo.mercadolibre.com.pe/MPE-618439171-televisor-samsung-smart-tv-43-qled-4k-qn43q65bagxpe-2022-_JM#position=29&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8,22/03/2023 12:32:02,Samsung,Smart TV,,,Sí,,,,,,,,,,,,,,,,,,"43 """,,,,,,,,,,,,,,,,,,The Frame,Samsung,,,,,,,,,,,,,,
18,Tv Sony 55a80k | 55 Pulgadas | 4k Ultra Hd | Smart Tv (googl,PE,5.0,Televisores,S/,7799,6699,14,5,1,None,1,https://articulo.mercadolibre.com.pe/MPE-616742709-tv-sony-55a80k-55-pulgadas-4k-ultra-hd-smart-tv-googl-_JM#position=32&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:32:05,Sony,XR-55A80K,,,Sí,,,Android TV,Sí,Sí,,,,Sí,,,,,,,,,"55 """,4K,Sí,,,,,,,,,,,,,,,,Bravia XR,XR-55A80K,Negro,OLED,No,No,No,,,,,,8.5 ms,7 días,,
19,Samsung Tv 50 Smart Uhd 4k Nuevo Modelo ,PE,3.8,Televisores,S/,,1599,,25,1,None,4,https://articulo.mercadolibre.com.pe/MPE-437081307-samsung-tv-50-smart-uhd-4k-nuevo-modelo-_JM#position=33&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8dd,22/03/2023 12:32:08,Samsung,AU7090,110V/2020V,,Sí,,,Tizen,Sí,Sí,2,1,Sí,Sí,,,,,,,,,"50 """,4K,Sí,,,,,,,,,,,,,,Dolby Digital Plus,,Crystal,UN50AU7090G,Negro,LED,No,No,,,,,,,,,,
