,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Con Wi-Fi,Con ethernet,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil
0,Televisor LG C2pua 83  4k Hdr Smart Oled Evo,SV,None,Televisores,U$S,,2000,,,1,None,,https://articulo.mercadolibre.com.sv/MSV-514007001-televisor-lg-c2pua-83-4k-hdr-smart-oled-evo-_JM#position=3&search_layout=stack&type=item&tracking_id=5a139f5f-44e7-4cc4-996e-c7cff1b90799,22/03/2023 10:56:24,LG,Smart OLED,OLED83C2PUA,OLED83C2PUA,Negro,100V/240V,Sí,Sí,Sí,Sí,OLED,"83 """,4K,Sí,Sí,Sí,Sí,Sí
1,Samsung-qn75q80-75-2160p-4k-uhd-qled-smart Hi,SV,None,Televisores,U$S,,500,,1,1,None,,https://articulo.mercadolibre.com.sv/MSV-513727502-samsung-qn75q80-75-2160p-4k-uhd-qled-smart-hi-_JM#position=1&search_layout=stack&type=item&tracking_id=5a139f5f-44e7-4cc4-996e-c7cff1b90799,22/03/2023 10:58:37,,,,,,,,,,,,,,,,,,
2,Bang & Olufsen Beosound Stage Dolby Atmos Soundbar Tv,SV,None,Televisores,U$S,,1500,,1,1,None,,https://articulo.mercadolibre.com.sv/MSV-513805501-bang-olufsen-beosound-stage-dolby-atmos-soundbar-tv-_JM#position=2&search_layout=stack&type=item&tracking_id=5a139f5f-44e7-4cc4-996e-c7cff1b90799,22/03/2023 10:58:43,,,,,,,,,,,,,,,,,,
3,Venta De Tv LG De 70 Pulgadas Smarth 4k Con Blutoo Y Voz,SV,None,Televisores,U$S,,732,,,1,None,,https://servicio.mercadolibre.com.sv/MSV-507845001-venta-de-tv-lg-de-70-pulgadas-smarth-4k-con-blutoo-y-voz-_JM#position=4&search_layout=stack&type=item&tracking_id=5a139f5f-44e7-4cc4-996e-c7cff1b9079,22/03/2023 10:58:49,,,,,,,,,,,,,,,,,,
4,Televisor Samsung-qn900b-85 -8k-hdr-smart-neo-qled,SV,None,Televisores,U$S,,3500,,,1,None,,https://articulo.mercadolibre.com.sv/MSV-515073016-televisor-samsung-qn900b-85-8k-hdr-smart-neo-qled-_JM#position=5&search_layout=stack&type=item&tracking_id=5a139f5f-44e7-4cc4-996e-c7cff1b90799,22/03/2023 10:58:55,Samsung,8K HDR Smart Neo QLED TV,QN900B,QN85QN900BFXZA,Blanco,110V/220V,Sí,Sí,,,QLED,"85 """,8K UHD,Sí,Sí,Sí,Sí,Sí
5,Samsung-qn75q80-75-2160p-4k-uhd-qled-smart,SV,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.sv/MSV-513747003-samsung-qn75q80-75-2160p-4k-uhd-qled-smart-_JM#position=6&search_layout=stack&type=item&tracking_id=5a139f5f-44e7-4cc4-996e-c7cff1b90799,22/03/2023 10:59:01,,,,,,,,,,,,,,,,,,
