,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Relación de contraste,Tiempo de respuesta,Con USB,Con HDMI,Con Wi-Fi,Con Bluetooth,Voltaje,Frecuencia,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Accesorios incluidos,Con función screen share,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con ethernet,Con entrada S/PDIF,Con entrada de antena RF,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Brillo,Frecuencia de actualización de la pantalla,Con entrada por video componentes,Con entrada por video compuesto,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Capacidad de almacenamiento,Es inflamable,Es kit,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Países con control mágico incluido,Organismo de certificación (OCP),Número de certificado de seguridad eléctrica,Duración del producto,Profundidad,Ancho x Profundidad,Ancho x Altura,Con impacto positivo,Ancho
20,Televisor Tcl Smart Tv 40'' Led Full Hd Hdr 60hz Android Tv,BR,None,Televisores,$,,89999,,1000,30,(30 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1135422726-televisor-tcl-smart-tv-40-led-full-hd-hdr-60hz-android-tv-_JM#position=40&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6e,16/03/2023 05:21:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Smart Tv Samsung 50  Uhd 4k Au7000,BR,None,Televisores,$,154999,124999,19,500,28,(28 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1105874061-smart-tv-samsung-50-uhd-4k-au7000-_JM#position=41&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6e5763,16/03/2023 05:21:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tv Led Noblex Db24x4000 24  Hd,BR,None,Televisores,$,49000,40180,18,1000,36,(36 disponibles),,https://www.mercadolibre.com.ar/tv-led-noblex-db24x4000-24-hd/p/MLA19681489?pdp_filters=category:MLA1002#searchVariation=MLA19681489&position=17&search_layout=stack&type=product&tracking_id=b7fc89ce-e,16/03/2023 05:21:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Smart TV Kanji KJ-50ST005 LED 4K 50"" 100V/240V",BR,None,Televisores,$,,128036,5,100,31,(31 disponibles),,https://www.mercadolibre.com.ar/smart-tv-kanji-kj-50st005-led-4k-50-100v240v/p/MLA18354742?pdp_filters=category:MLA1002#searchVariation=MLA18354742&position=18&search_layout=stack&type=product&trackin,16/03/2023 05:21:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tv Kanji 32 Led Mt005,BR,None,Televisores,$,41999,37999,9,100,71,(71 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1239583434-tv-kanji-32-led-mt005-_JM#position=42&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6e5763,16/03/2023 05:22:03,Kanji,TV LED,TV KANJI 32 LED MT005,MT005,,No,,,,,LED,"32 """,HD,,,,,Sí,,,220V,,,,,72.8 cm x 9 cm x 43.5 cm,,,,,,,,,1366 px - 768 px,16:9,3,2,,,,2,,,,,,,,,No,,,,170°,160°,,,,,,,,,,
25,Smart Tv Led 50  4k L50p735 Go - Tcl,BR,None,Televisores,$,115999,97999,15,50,257,(257 disponibles),,https://www.mercadolibre.com.ar/smart-tv-led-50-4k-l50p735-go-tcl/p/MLA20899444?pdp_filters=category:MLA1002#searchVariation=MLA20899444&position=19&search_layout=stack&type=product&tracking_id=b7fc89,16/03/2023 05:22:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Televisor Bgh 50'' Android Tv Negro 4k Ultra Hd Control Voz,BR,4.8,Televisores,$,120999,96999,19,500,42,(42 disponibles),63,https://articulo.mercadolibre.com.ar/MLA-1133869624-televisor-bgh-50-android-tv-negro-4k-ultra-hd-control-voz-_JM#position=43&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6e,16/03/2023 05:22:17,BGH,Smart TV Android,"TV LED BGH 50"" 4K UHD SMART ANDROID",PNE040263,Negro,Sí,No,No,No,Android,LED,"50 """,4K,Sí,1200,8 ms,Sí,Sí,Sí,No,220V,,Sí,Sí,Sí,111 cm x 9 cm x 64.9 cm,8.5 kg,111 cm,23.7 cm,71.2 cm,8.6 kg,"TV x1,base x2,guia rapida x1,manual legal x1,bolsa con tornillos para la base x1,control remoto x1,Cable adaptador miniplug 3 en 1",Sí,"Netflix,YouTube",3840x2160,16:9,6,2,Sí,Sí,No,2,8 W,Dolby Digital,280 cd/m²,60 Hz,No,No,Sí,Google Assistant,No,,No,No,178°,178°,4,Argentina,,,,,,,,
27,"Smart TV Philips 7000 Series 55PUD7406/77 LED 4K 55"" 110V/240V",BR,None,Televisores,$,167999,137999,17,1000,85,(85 disponibles),,https://www.mercadolibre.com.ar/smart-tv-philips-7000-series-55pud740677-led-4k-55-110v240v/p/MLA18647649?pdp_filters=category:MLA1002#searchVariation=MLA18647649&position=20&search_layout=stack&type=,16/03/2023 05:22:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Smart Tv Philips 43 Android Fhd Blanco 43pfd6927/77 110v-240v,BR,4.6,Televisores,$,,91999,,1000,5,(5 disponibles),103,https://www.mercadolibre.com.ar/smart-tv-philips-43-android-fhd-blanco-43pfd692777-110v-240v/p/MLA19469213?pdp_filters=category:MLA1002#searchVariation=MLA19469213&position=21&search_layout=stack&type,16/03/2023 05:22:30,Philips,SMART + ANDROID,43PFD6927,43PFD6927/77,Blanco,Sí,,,,Android TV,LED,"43 """,Full HD,Sí,,,Sí,Sí,Sí,Sí,120V/220V,,Sí,,,95.8 cm x 8.2 cm x 56.8 cm,7.2 kg,95.8 cm,22.7 cm,58.7 cm,7.13 kg,,Sí,,1920 px - 1080 px,16:9,3,3,Sí,,Sí,2,8 W,,,,,,Sí,,,,,,,,,,,,,,,,,
29,Smart Tv Noblex Dk43x7100pi Led 43'' Full Hd Con Android Tv,BR,4.7,Televisores,$,,94999,9,1000,100,(100 disponibles),145,https://www.mercadolibre.com.ar/smart-tv-noblex-dk43x7100pi-led-43-full-hd-con-android-tv/p/MLA19712050?pdp_filters=category:MLA1002#searchVariation=MLA19712050&position=22&search_layout=stack&type=pr,16/03/2023 05:22:37,Noblex,DK,DK43X7100PI,91DK43X7100PI,Negro,Sí,No,No,No,Android,LED,"43 """,Full HD,No,3000:1,8 ms,Sí,Sí,Sí,No,220V,,,,Sí,95.5 cm x 8.3 cm x 55.8 cm,6.5 kg,95.5 cm,18.2 cm,60.6 cm,,,,YouTube,1920 px - 1080 px,16:9,2,2,Sí,,Sí,2,14 W,,250 cd/m²,60 Hz,,,Sí,Google Assistant,No,,,,,,,,,,,,,,,
30,Smart Tv 50 Pulgadas 4k Ultra Hd 50uq8050psb - LG,BR,4.9,Televisores,$,184999,119999,35,100,10,(10 disponibles),9,https://www.mercadolibre.com.ar/smart-tv-50-pulgadas-4k-ultra-hd-50uq8050psb-lg/p/MLA21679952?pdp_filters=category:MLA1002#searchVariation=MLA21679952&position=23&search_layout=stack&type=product&trac,16/03/2023 05:22:44,LG,,50UQ8050PSB,,,Sí,No,No,No,,LED,"50 """,,Sí,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Tcl Led 55  L55p735 Uhd Google Tv-rv,BR,None,Televisores,$,137999,107999,21,100,20,(20 disponibles),,https://www.mercadolibre.com.ar/tcl-led-55-l55p735-uhd-google-tv-rv/p/MLA19930808?pdp_filters=category:MLA1002#searchVariation=MLA19930808&position=24&search_layout=stack&type=product&tracking_id=b7fc,16/03/2023 05:22:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Smart TV Quint QT1-50FRAME 4K 50"" 220V",BR,None,Televisores,$,,97999,,100,4,(4 disponibles),,https://www.mercadolibre.com.ar/smart-tv-quint-qt1-50frame-4k-50-220v/p/MLA19472693?pdp_filters=category:MLA1002#searchVariation=MLA19472693&position=25&search_layout=stack&type=product&tracking_id=b7,16/03/2023 05:22:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Smart TV LG AI ThinQ 43UP7750PSB LCD 4K 43"" 100V/240V",BR,None,Televisores,$,149999,96999,35,1000,149,(149 disponibles),,https://www.mercadolibre.com.ar/smart-tv-lg-ai-thinq-43up7750psb-lcd-4k-43-100v240v/p/MLA18505212?pdp_filters=category:MLA1002#searchVariation=MLA18505212&position=26&search_layout=stack&type=product&,16/03/2023 05:23:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Smart Tv Noblex Dk32x7000pi Led Hd 32 Android Tv,BR,4.7,Televisores,$,74999,61999,17,1000,287,(287 disponibles),502,https://www.mercadolibre.com.ar/smart-tv-noblex-dk32x7000pi-led-hd-32-android-tv/p/MLA19820351?pdp_filters=category:MLA1002#searchVariation=MLA19820351&position=27&search_layout=stack&type=product&tra,16/03/2023 05:23:09,Noblex,DK,DK32X7000PI,91DK32X7000PI,Negro,Sí,No,No,No,Android,LED,"32 """,HD,No,3000:1,6.5 ms,Sí,Sí,Sí,Sí,220V,,,,Sí,71.7 cm x 8.6 cm x 42.7 cm,3.7 kg,71.7 cm,16 cm,46.9 cm,5.5 kg,Control remoto,,"Netflix, YouTube",1366 px - 768 px,16:9,2,2,Sí,,Sí,2,12 W,,180 cd/m²,60 Hz,,,Sí,Google Assistant,No,,,,,,,,,,,,,,,
