,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Tamaño de la pantalla,Es smart,Con USB,Con HDMI,Color,Voltaje,Tipo de resolución,Es curvo,Es 3D,Tipo de pantalla,Con HDR,Es portátil,Con apagado automático,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Resolución máxima,Relación de aspecto,Brillo,Tiempo de respuesta,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Ancho,Es inflamable,Es kit,Capacidad de almacenamiento,Sistema operativo,Frecuencia de actualización de la pantalla,Modos de sonido,Frecuencia
46,Tarjeta Madre Para Vizio V400hj9-d03,DO,None,Televisores,$,,2300,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525086310-tarjeta-madre-para-vizio-v400hj9-d03-_JM#position=10&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:13:39,Vizio,,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sony 32 Inch 720p Hd Led Hdr Tv W830k Series With Google Tv,DO,None,Televisores,$,,9000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526465083-sony-32-inch-720p-hd-led-hdr-tv-w830k-series-with-google-tv-_JM#position=17&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d0,22/03/2023 09:14:03,Sony,W830K Series,W830K,W830K,"32 """,Sí,,,,,Full HD,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Smart Tv Samsung De 55 Pulgadas 4k Uhd Serie Au8000 Hdr,DO,None,Televisores,$,,11500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526600504-smart-tv-samsung-de-55-pulgadas-4k-uhd-serie-au8000-hdr-_JM#position=18&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d04255,22/03/2023 09:14:07,Samsung,Series,UN55AU8000FXZA,UN55AU8000FXZA,"55 """,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Control Remoto (2da Generacion) Para Amazon Fire Tv Y Fire ,DO,None,Televisores,$,,2000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526799798-control-remoto-2da-generacion-para-amazon-fire-tv-y-fire-_JM#position=19&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d0425,22/03/2023 09:14:11,,,,,,No,No,No,,,,No,No,,No,No,,,,No,No,No,No,,,,,,,,,,,,No,No,,,,,
50,Control Remoto LG Para Televisores Smart,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525112014-control-remoto-lg-para-televisores-smart-_JM#position=22&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:14:22,LG,,smart,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Nuevo Samsung 32  M80b 4k Uhd Hdr Smart Tv,DO,None,Televisores,$,,11500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526600502-nuevo-samsung-32-m80b-4k-uhd-hdr-smart-tv-_JM#position=25&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:14:33,Samsung,Series,LS32BM805UNXGO,LS32BM805UNXGO,"32 """,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Control Remoto Para Televisores Tecnomaster Led,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527228594-control-remoto-para-televisores-tecnomaster-led-_JM#position=27&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:14:41,Tecnomaster,LED,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Smart Tv 24 Pulgadas Insignia,DO,None,Televisores,$,,8000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527250662-smart-tv-24-pulgadas-insignia-_JM#position=28&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:14:44,Insignia,,24 pulgadas,24,"24 """,Sí,Sí,Sí,Negro,110V/220V,Full HD,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Control Remoto Para Televisores Vizio Smart Tv,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525092744-control-remoto-para-televisores-vizio-smart-tv-_JM#position=30&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:14:51,Vizio,,smart,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Televisor Hisense 75 Class U9dg Serie Dual-cell 4k Uled 2022,DO,None,Televisores,$,,25500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528056884-televisor-hisense-75-class-u9dg-serie-dual-cell-4k-uled-2022-_JM#position=32&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d,22/03/2023 09:14:57,Hisense,M5000 Series,HLE5017RTU,,"50 """,Sí,Sí,Sí,,100V/240V,4K,,,ULED,,,Sí,4,4,Sí,Sí,Sí,No,3840 px - 2160 px,16:9,460 cd/m²,9.5 ms,111.5 cm x 25.5 cm x 68.9 cm,14.2 kg,2,10 W,"Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,,,,
56,Smart Tv Samsung 43 ,DO,None,Televisores,$,,23800,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526483885-smart-tv-samsung-43-_JM#position=33&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:00,Samsung,Tv,Tu700,Samsung,"43 """,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
57,Televisor Tecnomaster Smart Tv 32 Pulgadas ,DO,None,Televisores,$,,7800,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528069920-televisor-tecnomaster-smart-tv-32-pulgadas-_JM#position=35&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:06,Tecnomaster,,,,"32 """,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,DO,None,Televisores,$,,25500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528069934-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=36&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:09,Sony,Bravia,KD-60X690E,,"60 """,Sí,Sí,Sí,,110V/240V,4K,,,LED,Sí,,Sí,3,3,Sí,No,Sí,,3840 px - 2160 px,16:9,,,135.68 cm x 8.6 cm x 78.61 cm,19 kg,2,20 W,"Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,Linux,240 Hz,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse",
59,Control Remoto Para Televisores Tcl Led,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526945068-control-remoto-para-televisores-tcl-led-_JM#position=38&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:16,TCL,LED,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Cable Hdmi 2.0 4k Ultra Hd Hdr 6 Pies - Gator,DO,None,Televisores,$,,900,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527225350-cable-hdmi-20-4k-ultra-hd-hdr-6-pies-gator-_JM#position=39&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:19,,,,,,,,Sí,,,,,Sí,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,240 MHz
61,Extensión Cable Hdmi Macho/hembra 6 Pies,DO,None,Televisores,$,,900,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527367792-extension-cable-hdmi-machohembra-6-pies-_JM#position=40&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:22,,,,,,,,Sí,,,4K,,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,
62,Smart Tv 50 Pulgadas Ws (8 29-) -9 66 -5353-,DO,None,Televisores,$,,24000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528056852-smart-tv-50-pulgadas-ws-8-29-9-66-5353--_JM#position=42&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:28,Samsung,TV,Smart TV,,"50 """,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Insignia Amazon Fire Tv Edition, 32 Pulgadas 1080p Hd",DO,None,Televisores,$,,12000,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525990443-insignia-amazon-fire-tv-edition-32-pulgadas-1080p-hd-_JM#position=46&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:41,Insignia,Amazon fire stick,,,"32 """,Sí,Sí,Sí,Negro,,Full HD,No,No,LED,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
64,Smart Tv 50 Pulgadas (8 29-) -6 60- 9520-,DO,None,Televisores,$,,17000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526263047-smart-tv-50-pulgadas-8-29-6-60-9520--_JM#position=50&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:15:54,TCL,,,,"50 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Televisor Tecnomaster Smart Tv 32 Pulgadas ,DO,None,Televisores,$,,7495,,25,1,None,,https://articulo.mercadolibre.com.do/MRD-523859558-televisor-tecnomaster-smart-tv-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:18:59,Tecnomaster,,,,"32 """,Sí,Sí,Sí,,,4K,,Sí,LED,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Televisores Smart Tv Totalmente Nuevos Diferentes Modelos ,DO,None,Televisores,$,,20000,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525945493-televisores-smart-tv-totalmente-nuevos-diferentes-modelos-_JM#position=3&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f62970,22/03/2023 09:19:05,LG,2020,Smart TV android,2p,"65 """,Sí,Sí,Sí,Negro,110V/220V,4K,Sí,No,Plasma,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
67,Samsung Neo Qled 4k Tv,DO,None,Televisores,$,,21000,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525983124-samsung-neo-qled-4k-tv-_JM#position=4&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,DO,None,Televisores,$,,25500,,25,1,None,,https://articulo.mercadolibre.com.do/MRD-527434500-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=8&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Samsung Qn85qn900bfxza 85  Class Neo Qled 8k Smart Tv ,DO,None,Televisores,U$S,,2399,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-528252118-samsung-qn85qn900bfxza-85-class-neo-qled-8k-smart-tv-_JM#position=12&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:26,Samsung,Series 4,QN85QN900BFXZA,QN85QN900BFXZA,"85 """,Sí,Sí,Sí,Plateado,4k,4K,,Sí,LED,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
70,Hisense - 75 Class A6 Series Led 4k Uhd Smart Google Tv,DO,None,Televisores,$,,22464,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-524833279-hisense-75-class-a6-series-led-4k-uhd-smart-google-tv-_JM#position=30&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Smart Tv 50 Pulgadas (8 29-) -6 60- 9520-,DO,None,Televisores,$,,17000,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-526230531-smart-tv-50-pulgadas-8-29-6-60-9520--_JM#position=31&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:39,LG,Smart TV,Smart TV,,"50 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Todo Tipo De Base Para Tv,DO,None,Televisores,$,,350,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-528017644-todo-tipo-de-base-para-tv-_JM#position=35&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Control Para Smart Tv Pc O Laptop,DO,None,Televisores,$,,500,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-527783658-control-para-smart-tv-pc-o-laptop-_JM#position=36&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:51,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Base De Tv,DO,None,Televisores,$,,200,,5,1,None,,https://articulo.mercadolibre.com.do/MRD-526483645-base-de-tv-_JM#position=41&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:19:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Base Tv Soporte Pared De Televisión Giratoria 14 42,DO,None,Televisores,$,,800,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525066715-base-tv-soporte-pared-de-television-giratoria-14-42-_JM#position=44&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:20:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Base Soporte Para Tv Television Pedestal Pared 40 - 80 ,DO,None,Televisores,$,,760,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527330204-base-soporte-para-tv-television-pedestal-pared-40-80-_JM#position=46&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Nuevo Smart Tv Vizio Serie D De 24 Pulgadas Full Hd 1080p,DO,None,Televisores,$,,3500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526425887-nuevo-smart-tv-vizio-serie-d-de-24-pulgadas-full-hd-1080p-_JM#position=8&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d0425,22/03/2023 09:20:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Smart Tv De 32 Pulgadas (8 29-) -6 60- 9520-,DO,None,Televisores,$,,8000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526217493-smart-tv-de-32-pulgadas-8-29-6-60-9520--_JM#position=11&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:20:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Nuevo! Televisor Samsung 4k 43 Pulgadas Uhd. En Caja.,DO,None,Televisores,$,,29000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526782738-nuevo-televisor-samsung-4k-43-pulgadas-uhd-en-caja-_JM#position=12&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:20:29,Samsung,UHD,Curve,7,"43 """,,,,Gris,110V/220V,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Base De Tv Fija De 26 Hasta 63 Pulgadas,DO,None,Televisores,$,,450,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528056672-base-de-tv-fija-de-26-hasta-63-pulgadas-_JM#position=13&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:20:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Fire Tv Stick With Alexa Voice Remote Smart Tv 4k ,DO,None,Televisores,$,,3495,,5,1,None,,https://articulo.mercadolibre.com.do/MRD-524228015-fire-tv-stick-with-alexa-voice-remote-smart-tv-4k-_JM#position=14&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:20:42,,,,,,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Smart Tv 55 Pulgada,DO,None,Televisores,$,,24000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526217983-smart-tv-55-pulgada-_JM#position=15&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:20:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Control Remoto Tcl Smart Tv,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525099275-control-remoto-tcl-smart-tv-_JM#position=16&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:20:55,TCL,,smart,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Television Tcl ,DO,None,Televisores,$,,14000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527601564-television-tcl-_JM#position=20&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:00,TCL,,,,"32 """,Sí,Sí,Sí,Negro,,,Sí,No,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
85,Control Remoto Para Televisores Sony Smart,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525053775-control-remoto-para-televisores-sony-smart-_JM#position=21&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:07,Sony,,smart,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Smart Tv 55 Pulgadas (8 29-) -6 60- 9520- ,DO,None,Televisores,$,,24000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526230517-smart-tv-55-pulgadas-8-29-6-60-9520--_JM#position=23&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Smart Tv 32 Pulgada,DO,None,Televisores,$,,8000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526464437-smart-tv-32-pulgada-_JM#position=24&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:20,Samsung,TV,Smart TV,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Venta Tv LG Smart  32 Pulgadas Nueva En Rd$ 14,000",DO,None,Televisores,$,,14000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527095686-venta-tv-lg-smart-32-pulgadas-nueva-en-rd-14000-_JM#position=26&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:27,LG,Smart,,,"32 """,Sí,Sí,Sí,Negro,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Control Remoto Para Televisores Tcl Smart Tv,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525047275-control-remoto-para-televisores-tcl-smart-tv-_JM#position=29&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:33,TCL,,smart,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Smart Tv 55 Pulgada ,DO,None,Televisores,$,,24000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526425461-smart-tv-55-pulgada-_JM#position=31&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:41,Samsung,TV,Smart TV,,"55 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Samsung M5 Series 32-inch Fhd Smart Monitor & Streaming Tv,DO,None,Televisores,$,,8000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526626890-samsung-m5-series-32-inch-fhd-smart-monitor-streaming-tv-_JM#position=34&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d0425,22/03/2023 09:21:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Control Remoto Para Televisores Tcl Smart Tv,DO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526803094-control-remoto-para-televisores-tcl-smart-tv-_JM#position=37&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:21:53,TCL,SMART,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Televisores Smart Tv Totalmente Nuevos Diferentes Modelos ,DO,None,Televisores,$,,20000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528043932-televisores-smart-tv-totalmente-nuevos-diferentes-modelos-_JM#position=41&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042,22/03/2023 09:22:00,LG,2020,Smart TV android,2p,"65 """,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
94,Smart Tv Tcl De 32 Pulgadas,DO,None,Televisores,$,,10000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528057300-smart-tv-tcl-de-32-pulgadas-_JM#position=43&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:22:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Smart Tv De 24 Pulgadas De La Marca Onn,DO,None,Televisores,$,,7990,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528069916-smart-tv-de-24-pulgadas-de-la-marca-onn-_JM#position=44&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Smart Tv 32 Pulgadas + Base Incluida,DO,None,Televisores,$,,11300,,,1,None,,https://articulo.mercadolibre.com.do/MRD-528071118-smart-tv-32-pulgadas-base-incluida-_JM#position=45&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:22:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Smart Tv Hisense De 55 Pulgadas Clase R6 Hdr 4k Uhd Roku,DO,None,Televisores,$,,5500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526562326-smart-tv-hisense-de-55-pulgadas-clase-r6-hdr-4k-uhd-roku-_JM#position=47&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d0425,22/03/2023 09:22:27,Hisense,R6 Series,55R6G,55R6G,"32 """,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Base De Tv,DO,None,Televisores,$,,700,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-527445592-base-de-tv-_JM#position=48&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:22:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Todo Tipo De Base Para Tv,DO,None,Televisores,$,,350,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-528043688-todo-tipo-de-base-para-tv-_JM#position=49&search_layout=stack&type=item&tracking_id=aa58a776-8375-4298-897d-8cbb9d042556,22/03/2023 09:22:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
