,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Tamaño de la pantalla,Es smart,Con USB,Con HDMI,Color,Voltaje,Tipo de resolución,Es curvo,Es 3D,Tipo de pantalla,Con HDR,Es portátil,Con apagado automático,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Resolución máxima,Relación de aspecto,Brillo,Tiempo de respuesta,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Ancho,Es inflamable,Es kit,Capacidad de almacenamiento,Sistema operativo,Frecuencia de actualización de la pantalla,Modos de sonido,Frecuencia
11,Smart Tv 32 Pulgadas  Ws (8 29-) -9 66 -5353-,BO,None,Televisores,$,,8000,,50,1,None,,https://articulo.mercadolibre.com.do/MRD-528147792-smart-tv-32-pulgadas-ws-8-29-9-66-5353--_JM#position=21&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:10,Samsung,TV,Smart TV,,"32 """,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
12,Smart Tv 50 Pulgadas Ws (8 29-) -9 66 -5353-,BO,None,Televisores,$,,18500,,25,1,None,,https://articulo.mercadolibre.com.do/MRD-528160826-smart-tv-50-pulgadas-ws-8-29-9-66-5353--_JM#position=22&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:13,LG,Smart TV,,,"50 """,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
13,Smart Tv De 32 Pulgadas  Ws (8 29-) -9 66 -5353-,BO,None,Televisores,$,,8500,,25,1,None,,https://articulo.mercadolibre.com.do/MRD-526483873-smart-tv-de-32-pulgadas-ws-8-29-9-66-5353--_JM#position=23&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:17,TCL,,,,"32 """,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tcl Roku Control Remoto Para Televisores Smart,BO,None,Televisores,$,,600,,5,1,None,,https://articulo.mercadolibre.com.do/MRD-525099277-tcl-roku-control-remoto-para-televisores-smart-_JM#position=24&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:20,TCL,,roku,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Samsung Tu7000 65  Class Hdr 4k Uhd Smart Led Tv,BO,None,Televisores,U$S,,450,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525237738-samsung-tu7000-65-class-hdr-4k-uhd-smart-led-tv-_JM#position=25&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:23,Samsung,SAUN65TU7000,UN65TU7000FXZA,UN65TU7000FXZA,"65 """,Sí,,,Negro,110V/220V,4K,,,LED,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Nuevo Samsung 32 Pulgadas Class Led Smart Fhd Tv 1080p,BO,None,Televisores,$,,6500,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-526574502-nuevo-samsung-32-pulgadas-class-led-smart-fhd-tv-1080p-_JM#position=28&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:34,Samsung,Series Q,UN32N5300AFXZA,UN32N5300AFXZA,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Smart Tv 50 Pulgadas (8 29-) -6 60- 9520- ,BO,None,Televisores,$,,24000,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-526275806-smart-tv-50-pulgadas-8-29-6-60-9520--_JM#position=29&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:37,Samsung,TV,Smart TV,,"55 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nuevo LG 65-inch Class Uq9000 Series 4k Smart Tv,BO,None,Televisores,$,,8500,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-526587502-nuevo-lg-65-inch-class-uq9000-series-4k-smart-tv-_JM#position=33&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:50,LG,Serie UHD,UQ9000,65UQ9000PUD,"65 """,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Control Remoto Para Televisores Tecnomaster 311s Smart Tv,BO,None,Televisores,$,,600,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525060265-control-remoto-para-televisores-tecnomaster-311s-smart-tv-_JM#position=34&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f6297,22/03/2023 09:01:53,tecnomaster,,311s,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Smart Tv 32 Pulgadas ,BO,None,Televisores,$,,8000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526224486-smart-tv-32-pulgadas-_JM#position=37&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:03,TCL,,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Televisor 32 Hd Smart Fire ,BO,None,Televisores,$,,19550,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527305246-televisor-32-hd-smart-fire-_JM#position=38&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:07,Toshiba,,,,"32 """,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Control Remotor Universal Para Tv Hd,led,lcd Rm-l1107+12",BO,None,Televisores,$,,495,,,1,None,,https://articulo.mercadolibre.com.do/MRD-523955031-control-remotor-universal-para-tv-hdledlcd-rm-l110712-_JM#position=40&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:12,,,,,"0 """,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,4.8 cm,,,,,,,
23,Base Para Tv Movible De Dos Brazos,BO,None,Televisores,$,,2250,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525223605-base-para-tv-movible-de-dos-brazos-_JM#position=42&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:18,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Smart Tv 32 Pulgadas (8 29-) -6 60- 9520-,BO,None,Televisores,$,,8000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526243585-smart-tv-32-pulgadas-8-29-6-60-9520--_JM#position=45&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:28,Samsung,TV,Smart TV,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Control Remoto Para Televisores Tecnomaster Smart Tv,BO,None,Televisores,$,,600,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525079777-control-remoto-para-televisores-tecnomaster-smart-tv-_JM#position=47&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:34,tecnomaster,,2323,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Smart Tv Samsung Qled 82,BO,None,Televisores,$,,105000,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526691634-smart-tv-samsung-qled-82-_JM#position=48&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:37,Samsung,Tv,Qled6,Samsung,"82 """,Sí,,,,,4K,,,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Base Para Tv.  Smart Tv Lcd Led Plasma Fija,BO,None,Televisores,$,,650,,25,1,None,,https://articulo.mercadolibre.com.do/MRD-526770212-base-para-tv-smart-tv-lcd-led-plasma-fija-_JM#position=49&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:02:40,,,,,,No,No,No,,,,No,No,,No,No,,,,No,No,No,No,,,,,,,,,,,,No,No,,,,,
28,Samsung 65 Clase 4k Cristal Uhd,BO,None,Televisores,$,,17734,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525985548-samsung-65-clase-4k-cristal-uhd-_JM#position=7&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:04:14,Samsung,,,,"58 """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Televisor  32  Pulgadas,BO,None,Televisores,$,,19400,,,1,None,,https://articulo.mercadolibre.com.do/MRD-527305244-televisor-32-pulgadas-_JM#position=14&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:04:34,Samsung,Samsung,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Televisor Smart De 39 Pulgadas Hyundai Full Hd Android,BO,None,Televisores,$,,14950,,5,1,None,,https://articulo.mercadolibre.com.do/MRD-527228016-televisor-smart-de-39-pulgadas-hyundai-full-hd-android-_JM#position=17&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:04:40,Hyundai,Marrón,HYLED399AiM,HYLED399AiM,"39 """,Sí,Sí,Sí,,,Full HD,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,4 GB,,,,
31,Smart Tv Samsung 43 ,BO,None,Televisores,$,,23800,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526717558-smart-tv-samsung-43-_JM#position=19&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:04:46,Samsung,Tv,Tu700,Samsung,"43 """,Sí,,,,,4K,,,Plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rca 32-inch Flat Screen 720p Roku Smart Led Tv - Rtr3261,BO,None,Televisores,$,,4500,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-526471488-rca-32-inch-flat-screen-720p-roku-smart-led-tv-rtr3261-_JM#position=26&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:04:53,RCA,RTR3261,RTR3261,RTR3261,"24 """,Sí,,,,,Full HD,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Smart Tv 55 Pulgadas (8 29-) -6 60- 9520-,BO,None,Televisores,$,,24000,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-526217519-smart-tv-55-pulgadas-8-29-6-60-9520--_JM#position=27&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:05:00,Samsung,TV,Smart TV,,"55 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Control Remoto Para Televisores Samsung Smart,BO,None,Televisores,$,,600,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525053773-control-remoto-para-televisores-samsung-smart-_JM#position=32&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:05:19,Samsung,Samsung,smart,Samsung,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Entretenimiento A Otro Nivel Con El Hisense 32  Smart Tv,BO,None,Televisores,$,,12199,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526510406-entretenimiento-a-otro-nivel-con-el-hisense-32-smart-tv-_JM#position=39&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706,22/03/2023 09:05:38,Hisense,A4 Series,32A40GMV,32A40GMV,"32 """,Sí,,Sí,Negro,,HD,,,LED,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
