,countrycode,tv_title,tv_make,tv_price,numberofoffers,averageprice,currency,tvspecifications,scrapelink,scrapedate
10,TN,Biolux TV SMART Android - 43'' - FULL HD - Récepteur intégré - Noir - Garantie 3 ans,Biolux,"1,049.00 TND",1,1049.00,TND,"{'Ecran\n': '\xa0 \xa043""', 'Aspect ratio ': ' 16', 'Résolution FULL HD ': '1920*1080', 'Brillance ': ' 200+-20cd/m2', 'Contraste ': ' 1200', 'Angle de vue ': '170°X 170°', 'Maximum colors ': ' 16.7M', 'Temps de réponse': ' 8ms', 'Système audio ': '\xa0\nB/\xa0G\xa0.\xa0D\xa0/K', 'Sortie Audio ': ' 2x8 W', 'Égaliseurs ': '\xa0 OUI', 'Effets ': '\xa0 OÙi', 'Video system ': ' PAL,\xa0SECAM,\xa0NTSC', 'SMART TV': 'SMART TV', 'ANDROID TV\xa0 OFFICIEL': 'ANDROID TV\xa0 OFFICIEL', 'App Store ': ' Google play store', 'Chromecast built-in': 'Chromecast built-in', 'HDR': 'HDR', 'DOLBY VISION ATMOS': 'DOLBY VISION ATMOS', 'RJ45 ': '1', 'Sortie Casque ': ' 1', 'Sortie AUDIO optique ': ' 1', 'AV\xa0 ': '1', 'Récepteur intégré': 'Récepteur intégré', 'Tuner TNT 1': 'Tuner TNT 1', 'HDMI ': ' 3', 'USB ': ' 2', 'Garantie 3 ans': 'Garantie 3 ans', 'SKU': ' BI395EA0BHNL8NAFAMZ', 'Taille (Longueur x Largeur x Hauteur cm)': ' 43', 'Poids (kg)': ' 6', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/biolux-tv-smart-android-43-full-hd-recepteur-integre-noir-garantie-3-ans-599291.html,15/09/2022 19:40:34
11,TN,"Support Mural TV 14""-42""  - Mobile - CP302 - Noir",(74 avis vérifiés),28.90 TND,6,32.10,TND,"{'Support Mural TV 14""-42"" Mobile': 'Support Mural TV 14""-42"" Mobile', 'Virage\xa0': ' 180° - Inclinaison\xa0', 'Taille écran\xa0': ' 14""-42""', 'Distance entre Mur et TV\xa0': ' Min 20cm, Max\xa0', 'Poids\xa0Max ': ' 35Kg', 'Couleur\xa0': ' Noir', 'SKU': ' SA050EL1H3AK4NAFAMZ', 'Modèle': ' CP302', 'Poids (kg)': ' 1', 'Couleur': ' Noir'}",https://www.jumia.com.tn/support-mural-tv-14-42-mobile-cp302-noir-white-label-mpg9782.html,15/09/2022 19:40:36
12,TN,"Telefunken Tv 32"" Tlf D6 HD Récepteur Intégré - Noir",Telefunken,569.90 TND,1,569.90,TND,"{'MODÈLE ': ' TV32D6', 'Résolution ': ' 1366*768', 'Luminosité (cd/m2) ': ' 200 nits', 'Taux de rafraîchissement ': ' 60 Hz', 'Liste des chaînes ': ' Oui', 'Liste des chaînes préférées ': ' Oui', 'Éditeur de chaînes ': ' Oui', 'App préinstallée ': "" minuterie d'arrêt Oui"", '2x ports HDMI': '2x ports HDMI', '1x port USB': '1x port USB', 'Sortie audio ': ' 2 x 8 W', 'Poids (brut) (Kg) 5': 'Poids (brut) (Kg) 5', 'Poids (Net) (Kg) 3,5': 'Poids (Net) (Kg) 3,5', 'Dimensions': 'Dimensions', 'avec support 720*188.5*480*7mm': 'avec support 720*188.5*480*7mm', 'sans support 720*81*423.4mm': 'sans support 720*81*423.4mm', 'SKU': ' TE848CL0P1Z2CNAFAMZ', 'Poids (kg)': ' 1', 'Type de boutique': ' Jumia Mall'}",https://www.jumia.com.tn/telefunken-tv-32-tlf-d6-hd-recepteur-integre-noir-528024.html,15/09/2022 19:40:38
13,TN,Home Design Support mural orientable - Inclinable 14'' - 55'',Home Design,34.90 TND,1,34.90,TND,"{'Support mural TV\xa014""-55""\xa0Mobile HDL-117B-2': 'Support mural TV\xa014""-55""\xa0Mobile HDL-117B-2', 'Taille de l’écran': '\xa014 "" - 55 ""\xa0- Max', 'Poids': '\xa050Kg\xa0- Virage', 'Inclinaison': ' 15 °', 'Distance entre mur et TV': ' Min 80 mm - Max 460 mm', 'Couleur': ' noir', 'SKU': ' BR959EA1EX24GNAFAMZ', 'Gamme de produits': ' All age products', 'Modèle': "" Orientable Et Inclinable 14'' 55''"", 'Pays de production': ' China', 'Taille (Longueur x Largeur x Hauteur cm)': ' 25*25*1', 'Poids (kg)': ' 2.9'}",https://www.jumia.com.tn/home-design-support-mural-orientable-inclinable-14-55-232558.html,15/09/2022 19:40:39
14,TN,"Vega Smart TV HD - 32""  - Android - L32F1HBG - Garantie 3 Ans +  Support murale",Vega,715.00 TND,3,715.00,TND,"{'+support murale': '+support murale', 'Ecran 32”': 'Ecran 32”', 'Résolution d’affichage 1366*768': 'Résolution d’affichage 1366*768', 'Brillance 180cd/m2': 'Brillance 180cd/m2', 'Contraste 3000': '1', 'Aspect Ratio 16': '9', 'Garantie ': ' 3 ans\xa0Recepteur integre', 'Maximum Colors 16.7M': 'Maximum Colors 16.7M', 'Response time 8.5ms': 'Response time 8.5ms', 'Port\xa0USB\xa0 x 1': 'Port\xa0USB\xa0 x 1', 'Ports HDMI x 3': 'Ports HDMI x 3', 'AV Input &R,L': 'AV Input &R,L', 'Connecteur Coaxial x 1': 'Connecteur Coaxial x 1', 'Entrée RF': 'Entrée RF', 'couleur Noir': 'couleur Noir', 'Garantie 1 an': 'Garantie 1 an', 'SKU': ' VE380EL1MQED4NAFAMZ', 'Poids (kg)': ' 1', 'Type de boutique': ' Jumia Mall'}",https://www.jumia.com.tn/smart-tv-hd-32-android-l32f1hbg-garantie-3-ans-support-murale-vega-mpg23444.html,15/09/2022 19:40:41
15,TN,Toshiba Téléviseur LED  32 pouces- récepteur intégré- Garantie 2 Ans,Toshiba,499.00 TND,1,499.00,TND,"{""Taille de l'écran "": ' 32 pouces', 'Récepteur intégré': 'Récepteur intégré', ""Format d'image "": ' 16', 'Angle de vision ': ' 178°', '(DVB-T/T2/C/S/S2)': '(DVB-T/T2/C/S/S2)', 'Type de filtre ': ' Filtre en peigne', 'Traitement vidéo ': ' Mouvement actif 8 bits', 'résolution Plus ': ' AMR 100', ""Modes d'image "": ' Standard - Dynamique - Cinéma jour - Cinéma nuit', 'Technologie sonore ': ' Dolby\xa0Modes\xa0sonores\xa0numériques Plus ', 'Sortie haut-parleur ': ' 8 W x\xa02 240 Volts / 50-60\xa0Hz', 'Garantie 2 ans': 'Garantie 2 ans', 'SKU': ' TO026EA1CEQ1GNAFAMZ', 'Gamme de produits': ' derniers génération', 'Modèle': ' 32L3965', 'Taille (Longueur x Largeur x Hauteur cm)': ' 32', 'Poids (kg)': ' 3', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/toshiba-televiseur-led-32-pouces-recepteur-integre-garantie-2-ans-580318.html,15/09/2022 19:40:43
16,TN,"VONTECH Support Mural TV 10""-32"" Fixe - VT-22S - Noir",VONTECH,12.90 TND,1,12.90,TND,"{'Max Poids': ' 25Kg', 'Taille de\xa0\xa0l’écran': ' 10""-32""', 'Dimension sur Mur': ' 25*10cm', 'Taille': ' 22cm - Distance entre Mur et TV\xa0', 'Extension': ' 100*100 / 150*150 / 200*200mm', 'Couleur\xa0': ' Noir', 'SKU': ' VO560EL15T5C8NAFAMZ', 'Modèle': ' VT-22S', 'Poids (kg)': ' 1', 'Couleur': ' Noir'}",https://www.jumia.com.tn/vontech-support-mural-tv-10-32-fixe-vt-22s-noir-242207.html,15/09/2022 19:40:44
17,TN,Biolux TV Smart Android - 32'' - HD - Récepteur intégré - Garantie 3 ans,Biolux,679.00 TND,1,679.00 TND,TND,"{'Ecran ': '\xa0 \xa032""', 'Aspect ratio ': ' 16', 'Résolution HD ': '1366*768', 'Brillance ': ' 200+-20cd/m2', 'Contraste ': ' 3000', 'Angle de vue ': '170°X 170', 'Maximum colors ': ' 16.7M', 'Temps de réponse': ' 6.5ms', 'Système audio ': '\xa0 B/\xa0G\xa0.\xa0D\xa0/K', 'Sortie Audio ': ' 2x8 W', 'Égaliseurs ': '\xa0 OUI', 'Effets ': '\xa0 OÙi', 'Video system ': ' PAL,\xa0SECAM,\xa0NTSC', 'SMART TV': 'SMART TV', 'ANDROID TV\xa0 OFFICIEL': 'ANDROID TV\xa0 OFFICIEL', 'App Store ': ' Google play store', 'Chromecast built-in': 'Chromecast built-in', 'HDR': 'HDR', 'DOLBY VISION ATMOS': 'DOLBY VISION ATMOS', 'RJ45 ': '1', 'Sortie Casque ': ' 1', 'Sortie AUDIO optique ': ' 1', 'AV ': '1', 'Récepteur intégré': 'Récepteur intégré', 'Tuner TNT 1': 'Tuner TNT 1', 'HDMI ': ' 2', 'USB ': ' 1', 'Garantie 3 ans': 'Garantie 3 ans', 'SKU': ' BI395EA0SR84SNAFAMZ', 'Taille (Longueur x Largeur x Hauteur cm)': ' 32', 'Poids (kg)': ' 5', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/biolux-tv-smart-android-32-hd-recepteur-integre-garantie-3-ans-599284.html,15/09/2022 19:40:45
18,TN,"Nsat Support mural mobile  pour tv 32"" - 65"" - noir",Nsat,89.90 TND,2,89.90,TND,"{'SUPPORT TV MOBILE Nsat YS-815': 'SUPPORT TV MOBILE Nsat YS-815', 'Modèle': ' YS-815', 'Capacité ': ' 50 kg', ""Taille de l'écran"": ' 32 - 65 pouces', 'Conformité VESA': ' 100 x 100 mm - 200 x 100 mm - 200 x 200 mm', 'Mouvement à droite et à gauche, haut et bas bip': 'Mouvement à droite et à gauche, haut et bas bip', 'Distance du mur': ' 90 - 400 mm', 'Angle de pente': ' 15 °', 'Couleur noire': 'Couleur noire', 'Angle de retour': ' 180 °', 'SKU': ' NS994EL01657GNAFAMZ', 'Poids (kg)': ' 1', 'Couleur': ' Noir'}",https://www.jumia.com.tn/support-mural-mobile-pour-tv-32-65-noir-nsat-mpg28805.html,15/09/2022 19:40:46
19,TN,"LG Téléviseur 43"" Full HDR Smart LED + RÉCEPTEUR INTÉGRÉ - 43LM6370 PVA - Garantie 2 ans",LG,"1,399.00 TND",1,"1,399.00 TND",TND,"{'Un nouveau niveau de Full HD': 'Un nouveau niveau de Full HD', ""Processeur quadricœur, l'origine d'images réalistes"": ""Processeur quadricœur, l'origine d'images réalistes"", 'HDR actif pour des détails incroyables': 'HDR actif pour des détails incroyables', 'DTS VirtualX qui ajoute une autre dimension au son': 'DTS VirtualX qui ajoute une autre dimension au son', 'Garantie 2 ans': 'Garantie 2 ans', 'SKU': ' LG178EA17ROX8NAFAMZ', 'Gamme de produits': ' Télévision', 'Modèle': ' 43LM6370 PVA', 'Poids (kg)': ' 5'}",https://www.jumia.com.tn/lg-televiseur-43-full-hdr-smart-led-recepteur-integre-43lm6370-pva-garantie-2-ans-551537.html,15/09/2022 19:40:47
