,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Es smart,Es 3D,Es curvo,Es portátil,Cantidad de núcleos del procesador,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Apps integradas,Tipo de display,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Con entrada S/PDIF,Con entrada por video componentes,Con entrada por video compuesto,Con entrada de antena RF,Es kit,Voltaje,Capacidad de almacenamiento,Asistentes virtuales integrados,Frecuencia,Países con control mágico incluido,Es inflamable
22,"Smart TV JVC SI24R LED HD 24""",MX,4.7,Televisores,$,,2826,,1000,1,None,133,https://www.mercadolibre.com.mx/smart-tv-jvc-si24r-led-hd-24/p/MLM18725656?pdp_filters=category:MLM1002#searchVariation=MLM18725656&position=37&search_layout=stack&type=product&tracking_id=14aea2f6-50,22/03/2023 11:32:01,JVC,,SI24R,,,Sí,,,,,,,,,,,,,,,,,,"Control remoto, Manual",,,Roku App,LED,"24 """,HD,,1366 px - 768 px,,,16:9,,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,
23,"Smart TV Sansui FHD / ROKU TV SMX32D6HR DLED HD 32"" 100V/240V",MX,None,Televisores,$,3919,3094,21,1000,1,None,,https://www.mercadolibre.com.mx/smart-tv-sansui-fhd-roku-tv-smx32d6hr-dled-hd-32-100v240v/p/MLM19879739?pdp_filters=category:MLM1002#searchVariation=MLM19879739&position=38&search_layout=stack&type=pr,22/03/2023 11:32:08,Sansui,FHD / ROKU TV,SMX32D6HR,,,Sí,,No,,,Roku OS,,,,72.9 cm x 7.4 cm x 42.9 cm,,72.9 cm,16.6 cm,47.3 cm,,2,16 W,Dolby Audio,"Control remoto, Manual, Baterías, Cable de alimentación",Sí,,"Netflix, Disney+, Apple TV, Cinepolis, TV Azteca, Paramount+, Directv GO, Tubi, HBO Max, Spotify, Roku App",DLED,"32 """,HD,,1366 px - 768 px,,,16:9,,,,,Sí,Sí,3,1,Sí,,Sí,,Sí,,Sí,Sí,,100V/240V,,,50 Hz x 60 Hz,,
24," Pantalla Sansui ‎SMX32T1H LED HD 32""",MX,4.5,Televisores,$,2990,2790,6,100,1,None,29,https://www.mercadolibre.com.mx/pantalla-sansui-smx32t1h-led-hd-32/p/MLM19898765?pdp_filters=category:MLM1002#searchVariation=MLM19898765&position=39&search_layout=stack&type=product&tracking_id=14aea,22/03/2023 11:32:12,Sansui,,‎SMX32T1H,,,,,No,,,,,,,,,,,,,,,,"Control remoto, Baterías, Manual",,,,LED,"32 """,HD,,1280 px - 720 px,178°,178°,16:9,,,,60 Hz,Sí,Sí,2,2,,,,,Sí,,Sí,Sí,,,,,,,
25,Pantalla Smart Tv 43 Pulgadas Weyon Android Tv Hd Television,MX,4.5,Televisores,$,8835,4771,26,100,1,None,6,https://articulo.mercadolibre.com.mx/MLM-1767199002-pantalla-smart-tv-43-pulgadas-weyon-android-tv-hd-television-_JM#position=52&search_layout=stack&type=item&tracking_id=14aea2f6-5059-48d5-970f-7c87e,22/03/2023 11:32:15,WEYON,Android TV,43WDSNMX-6,,Negro,Sí,No,No,No,,,,,,,,,,,,,,,,,,,LED,"43 """,Full HD,No,,,,16:9,3000:1,,6.5 ms,,Sí,Sí,,,,,Sí,,,,,,,110V - 127V,,,,,
26,"Smart TV Hisense A4 Series 40A45H LCD Full HD 40"" 120V",MX,None,Televisores,$,6999,5299,24,500,1,None,,https://www.mercadolibre.com.mx/smart-tv-hisense-a4-series-40a45h-lcd-full-hd-40-120v/p/MLM19884367?pdp_filters=category:MLM1002#searchVariation=MLM19884367&position=40&search_layout=stack&type=produc,22/03/2023 11:32:19,Hisense,A4 Series,40A45H,,,Sí,,No,,,Android TV,Sí,,Sí,"35.2 "" x 3.4 "" x 20.2 """,11.9 lb,"35.2 ""","7.2 ""","22 """,12.1 lb,2,14 W,"DTS Virtual:X, Surround","Control remoto, Manual electrónico, Cable de alimentación, Cable HDMI, Guía de instalación",Sí,Sí,"Google Play Store, Disney+, HBO Now, Hulu, Prime Video, Sling TV, Show Time, Pandora, YouTube, Web browser",LCD,"40 """,Full HD,No,1920 px - 1080 px,,,16:9,1000000:1,,,120 Hz,Sí,Sí,2,1,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,,120V,,Google Assistant,50 Hz x 60 Hz,,
27,None,MX,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=d2DX8YK7hDbU4FMS3rCk5J4DjtmW8Kw7t55uX%2BqaPtCIMzjTCH5G6Wk%2B8hSKf4AIiP4A6qz7ZhNrgpE7D4z8o6F3FInx5DL3OIe5h%2BmydzMrwL7EOugiae5dkTZw,22/03/2023 11:33:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pantalla Smart Tv 32 Pulgadas Weyon Android Tv Hd Television,MX,4.4,Televisores,$,5782,2892,49,100,1,None,7,https://articulo.mercadolibre.com.mx/MLM-1767173002-pantalla-smart-tv-32-pulgadas-weyon-android-tv-hd-television-_JM#position=43&search_layout=stack&type=item&tracking_id=14aea2f6-5059-48d5-970f-7c87e,22/03/2023 11:33:10,WEYON,Android TV,32WDSNMX-6,,Negro,Sí,No,No,No,,,,,,,,,,,,,,,,,,,LED,"32 """,HD,No,,,,16:9,3000:1,,6.5 ms,,Sí,Sí,,,,,Sí,,,,,,,110V - 127V,,,,,
29,Pantalla Tcl Led 55  Smart 4k Uhd Android Tv 55a547,MX,None,Televisores,$,11999,7999,33,500,1,None,,https://www.mercadolibre.com.mx/pantalla-tcl-led-55-smart-4k-uhd-android-tv-55a547/p/MLM20656454?pdp_filters=category:MLM1002#searchVariation=MLM20656454&position=2&search_layout=stack&type=product&tr,22/03/2023 11:33:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pantalla 55 Pulgadas Tcl Uhd 4k Android Tv 55a547,MX,None,Televisores,$,11999,7999,33,100,1,None,,https://articulo.mercadolibre.com.mx/MLM-1661801720-pantalla-55-pulgadas-tcl-uhd-4k-android-tv-55a547-_JM#position=45&search_layout=stack&type=item&tracking_id=14aea2f6-5059-48d5-970f-7c87ebdb2294,22/03/2023 11:33:23,TCL,A547,55A547,55A547 Android TV,Negro,Sí,No,No,No,,Android,No,No,Sí,123.4 cm x 8.6 cm x 72.4 cm,11 kg,,,,,2,8 W,Dolby Digital,Control remoto,Sí,Sí,Netflix,LED,"55 """,4K,Sí,3840 * 2160,178°,178°,16:9,5000:1,,6.5 ms,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,115V,16 GB,Google Assistant,60,México,No
31,Pantalla Hisense U8h 55'' Mini Led Uled U8 4k Google Tv,MX,4.9,Televisores,$,,26999,,1000,1,None,197,https://articulo.mercadolibre.com.mx/MLM-1481746474-pantalla-hisense-u8h-55-mini-led-uled-u8-4k-google-tv-_JM#position=46&search_layout=stack&type=item&tracking_id=14aea2f6-5059-48d5-970f-7c87ebdb2294,22/03/2023 11:33:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
