,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Con HDR,Frecuencia,Con Wi-Fi,Con Bluetooth,Con ethernet,Con función screen share,Apps integradas,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Con comando de voz integrado,Asistentes virtuales integrados,Submodelo,Capacidad,Conectividad de red móvil,Tipo de consola,Cantidad de núcleos del procesador,Tiempo de respuesta,Países con control mágico incluido,Brillo,Con VGA,Memoria interna,Memoria RAM,Con ranura para tarjeta de memoria,Red,Tipo de conector de carga,Con conector USB,Con conector jack 3.5 mm,Con GPS,Con NFC,Con radio,Con sintonizador de TV,Resolución de la cámara trasera principal,Resolución de video de la cámara trasera,Resolución de la cámara frontal principal,Características principales de las cámaras,Resolución de las cámaras traseras,Apertura del diafragma de la cámara trasera,Resolución de las cámaras frontales,Apertura del diafragma de la cámara frontal,Cantidad de cámaras traseras,Cantidad de cámaras frontales,Zoom óptico,Zoom digital,Resolución de video de la cámara frontal,Con cámara,Con flash en la cámara frontal,Con lector de huella digital,Con reconocimiento facial,Con reconocimiento de iris,Altura x Ancho x Profundidad,Altura cerrado,Ancho cerrado,Profundidad cerrado,Con IMEI,Compañía telefónica,Incluye lápiz,Es Dual SIM,Tamaños de tarjeta SIM compatibles,Cantidad de ranuras para tarjeta SIM,Con eSIM,Nombre del sistema operativo,Versión original del sistema operativo,Capa original de personalización del sistema operativo,Modelo del procesador,Velocidad del procesador,Modelo de GPU,Tipo de resolución de la pantalla ,Resolución de la pantalla,Tecnología de la pantalla,Tecnología de la pantalla secundaria,Píxeles por pulgada de la pantalla,Brillo máximo de la pantalla,Tamaño de la pantalla secundaria,Píxeles por pulgada de la pantalla secundaria,Frecuencia de actualización de la pantalla secundaria,Resolución de la pantalla secundaria,Relación de aspecto de la pantalla,Relación de aspecto de la pantalla secundaria,Con pantalla táctil,Con pantalla secundaria táctil,Capacidad de la batería,Tipo de batería,Con carga rápida,Con carga inalámbrica,Con batería removible,Clasificación IP,Con teclado QWERTY físico,Es resistente al agua,Es resistente al polvo,Con acelerómetro,Con sensor de proximidad,Con giroscopio,Con brújula,Con barómetro
10,Samsung Au8000 85 Class Hdr 4k Uhd Smart Led Tv,GT,None,Televisores,Q,,2010,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521451511-samsung-au8000-85-class-hdr-4k-uhd-smart-led-tv-_JM#position=21&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:05:49,Samsung,Series 4,HG32ND450,HG32ND450SGXZD,Negro,100V/240V,No,No,,,74.5 cm x 6.9 cm x 44.2 cm,3.7 kg,"Cable de alimentación,Control remoto",LED,"32 """,HD,1366 px - 768 px,16:9,120 Hz,Sí,Sí,2,1,2,10 W,Dolby Digital Plus,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,GT,None,Televisores,Q,,2352,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521880504-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=23&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:05:56,Sony,65 Class A8h Series Oled 4k Uhd Smart Android Tv,,,Negro,,Sí,Sí,No,No,,,,ULED,"75 """,4K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,GT,None,Televisores,Q,,3500,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-523076528-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=24&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:06:00,Sony,Bravia,KD-60X690E,,Azul,110V/240V,Sí,,No,,135.68 cm x 8.6 cm x 78.61 cm,19 kg,"Baterías,Cable de alimentación,Control remoto",LED,"60 """,4K,3840 px - 2160 px,16:9,240 Hz,Sí,Sí,3,3,2,20 W,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse",Sí,,Sí,No,Sí,,"Netflix,Web browser,YouTube",Linux,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LG Signature Z9 88 Inch Class 8k Smart Oled Tv With Ai Th,GT,None,Televisores,U$S,,500,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-523921606-lg-signature-z9-88-inch-class-8k-smart-oled-tv-with-ai-th-_JM#position=27&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59657,22/03/2023 11:06:08,LG,AI ThinQ,OLED65C9,OLED65C9PSA,Blanco,100V/240V,Sí,,No,No,144.9 cm x 4.69 cm x 83 cm,25.2 kg,"Baterías,Cable de alimentación,Control remoto",OLED,"65 """,4K,3840 px - 2160 px,16:9,,Sí,Sí,4,3,4,40 W,"DTS Decoder,Dolby Atmos",Sí,,Sí,Sí,Sí,,"Netflix,Web browser,YouTube",webOS,Sí,,,Sí,ThinQ AI,,,,,4,1 ms,"Brasil,Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Televisor Hisense 75 Class U9dg Serie Dual-cell 4k Uled 2022,GT,None,Televisores,Q,,3500,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-522959582-televisor-hisense-75-class-u9dg-serie-dual-cell-4k-uled-2022-_JM#position=29&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59,22/03/2023 11:06:14,Hisense,M5000 Series,HLE5017RTU,,Coral claro,100V/240V,Sí,No,,No,111.5 cm x 25.5 cm x 68.9 cm,14.2 kg,"Baterías,Cable de alimentación,Control remoto",ULED,"50 """,4K,3840 px - 2160 px,16:9,,Sí,Sí,4,4,2,10 W,,Sí,,Sí,Sí,Sí,,"Netflix,Web browser,YouTube",,Sí,,,,,,,,,,9.5 ms,,460 cd/m²,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,GT,None,Televisores,U$S,,350,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-523401504-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=30&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:06:17,Sony,TV,A 8H,,,,No,Sí,,Sí,,,,,"65 """,,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Samsung Un65tu7000 65  Smart Led Tv Crystal 4k-ultra Hd ,GT,None,Televisores,Q,,2000,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-523895612-samsung-un65tu7000-65-smart-led-tv-crystal-4k-ultra-hd-_JM#position=31&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:06:20,Samsung,CRISTAL UHD,Samsung UN65TU7000,UN65TU7000,Negro,,Sí,,No,No,,,,LED,"65 """,4K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LG 75 Nanocell 99 Series 8k Smart Uhd Tv Con Ai Thinq,GT,None,Televisores,Q,,2319,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521360530-lg-75-nanocell-99-series-8k-smart-uhd-tv-con-ai-thinq-_JM#position=32&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:06:24,LG,Serie UHD,82UM7570,82UM7570PUB,,100V/240V,Sí,,,,185 cm x 8.9 cm x 106.8 cm,46.2 kg,"Baterías,Cable de alimentación,Control remoto",LED,"82 """,4K,3840 px - 2160 px,16:9,,Sí,Sí,4,3,2,20 W,"DTS Virtual:X,Dolby Surround,Ultra Surround",Sí,,Sí,Sí,Sí,Sí,,webOS,Sí,,,Sí,"Alexa,Google Assistant,ThinQ AI",,,,,4,,México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Samsung 65  Clase 4k Cristal Uhd ,GT,None,Televisores,Q,,3000,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-521646524-samsung-65-clase-4k-cristal-uhd-_JM#position=33&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:06:28,Samsung,Samsung,Samsung,Samsung,,,Sí,,,,,,,,"65 """,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,GT,None,Televisores,Q,,2352,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-521848018-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=34&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd596,22/03/2023 11:06:31,Hisense,Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,,,Negro,,Sí,Sí,No,No,,,,ULED,"75 """,4K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
