,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Con HDR,Frecuencia,Con Wi-Fi,Con Bluetooth,Con ethernet,Con función screen share,Apps integradas,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Con comando de voz integrado,Asistentes virtuales integrados,Submodelo,Capacidad,Conectividad de red móvil,Tipo de consola,Cantidad de núcleos del procesador,Tiempo de respuesta,Países con control mágico incluido,Brillo,Con VGA,Memoria interna,Memoria RAM,Con ranura para tarjeta de memoria,Red,Tipo de conector de carga,Con conector USB,Con conector jack 3.5 mm,Con GPS,Con NFC,Con radio,Con sintonizador de TV,Resolución de la cámara trasera principal,Resolución de video de la cámara trasera,Resolución de la cámara frontal principal,Características principales de las cámaras,Resolución de las cámaras traseras,Apertura del diafragma de la cámara trasera,Resolución de las cámaras frontales,Apertura del diafragma de la cámara frontal,Cantidad de cámaras traseras,Cantidad de cámaras frontales,Zoom óptico,Zoom digital,Resolución de video de la cámara frontal,Con cámara,Con flash en la cámara frontal,Con lector de huella digital,Con reconocimiento facial,Con reconocimiento de iris,Altura x Ancho x Profundidad,Altura cerrado,Ancho cerrado,Profundidad cerrado,Con IMEI,Compañía telefónica,Incluye lápiz,Es Dual SIM,Tamaños de tarjeta SIM compatibles,Cantidad de ranuras para tarjeta SIM,Con eSIM,Nombre del sistema operativo,Versión original del sistema operativo,Capa original de personalización del sistema operativo,Modelo del procesador,Velocidad del procesador,Modelo de GPU,Tipo de resolución de la pantalla ,Resolución de la pantalla,Tecnología de la pantalla,Tecnología de la pantalla secundaria,Píxeles por pulgada de la pantalla,Brillo máximo de la pantalla,Tamaño de la pantalla secundaria,Píxeles por pulgada de la pantalla secundaria,Frecuencia de actualización de la pantalla secundaria,Resolución de la pantalla secundaria,Relación de aspecto de la pantalla,Relación de aspecto de la pantalla secundaria,Con pantalla táctil,Con pantalla secundaria táctil,Capacidad de la batería,Tipo de batería,Con carga rápida,Con carga inalámbrica,Con batería removible,Clasificación IP,Con teclado QWERTY físico,Es resistente al agua,Es resistente al polvo,Con acelerómetro,Con sensor de proximidad,Con giroscopio,Con brújula,Con barómetro
20,LG Signature Z9 88 Inch Class 8k Smart Oled Tv With Ai Th,GT,None,Televisores,U$S,,600,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-520808035-lg-signature-z9-88-inch-class-8k-smart-oled-tv-with-ai-th-_JM#position=36&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59657,22/03/2023 11:06:38,LG,Signature,Z9,,Agua,110V/240V,Sí,,,,,,,OLED,"88 """,8K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,  Televisor Samsung 65 Qled 4k Smart Tv Hdmi Usb,GT,None,Televisores,U$S,,400,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521750516-televisor-samsung-65-qled-4k-smart-tv-hdmi-usb-_JM#position=42&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:06:57,Samsung,P725-Series,55P725,"Whats""""App +19493294848",Negro,120,Sí,Sí,No,Sí,,,,OLED,"65 """,4K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Samsung Qn75q7fn Smart Qled Oled 4k Ultra Hd 75 Tv,GT,None,Televisores,Q,,2150,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-520892509-samsung-qn75q7fn-smart-qled-oled-4k-ultra-hd-75-tv-_JM#position=44&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:07:04,Samsung,Samsung Qn75q7fn Smart Qled Oled 4k Ultra Hd 75 TvQn75q7fn Smart,Samsung Qn75q7fn Smart Qled Oled 4k Ultra Hd 75 Tv,,Turquesa,,Sí,Sí,,,,,,Plasma,"85 """,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Samsung 85 Black Qn90b Neo Qled 4k Smart Tv (2022) - Qn85qn9,GT,None,Televisores,Q,,2265,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-520938007-samsung-85-black-qn90b-neo-qled-4k-smart-tv-2022-qn85qn9-_JM#position=46&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd596572,22/03/2023 11:07:10,Samsung,85 Black Qn90b,Samsung 85 Black Qn90b Neo Qled 4k Smart Tv (2022) - Qn85qn9,,Lavanda,,Sí,Sí,Sí,,,,,OLED,"85 """,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Vizio 4k Oled 55 Smart Tv | Oled55-h1,GT,None,Televisores,Q,,1887,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521412521-vizio-4k-oled-55-smart-tv-oled55-h1-_JM#position=47&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:07:15,Vizio,4k Oled,55 Smart Tv | Oled55-h1,42PFG5011/77,,120V/220V,Sí,,,,,,,LED,"42 """,Full HD,,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Samsung 55  Clase Cristal Uhd Serie Tu-8000,GT,None,Televisores,Q,,4000,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-522485008-samsung-55-clase-cristal-uhd-serie-tu-8000-_JM#position=50&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:07:23,Samsung,Samsung,TELEGRAM:---- @unitedstockstore,Samsung,Negro,110V/220V,Sí,Sí,Sí,Sí,,,,OLED,"55 """,4K,,,,Sí,Sí,,,,,,Sí,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,GT,None,Televisores,Q,,1226,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-520834001-tv-samsung-43-pulgadas-au7000-crystal-uhd-4k-smart-tv-_JM#position=1&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:08:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,GT,None,Televisores,Q,,1189,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-520886012-tv-samsung-43-pulgadas-au7000-crystal-uhd-4k-smart-tv-_JM#position=3&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:08:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Televisor Samsung 65 Qled 4k Smart Tv Hdmi Usb,GT,None,Televisores,Q,,3136,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521692040-televisor-samsung-65-qled-4k-smart-tv-hdmi-usb-_JM#position=4&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:08:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Televisor Sony Bravia Xr A80k 4k Hdr Oled De 65 ,GT,None,Televisores,Q,,4296,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-523024560-televisor-sony-bravia-xr-a80k-4k-hdr-oled-de-65-_JM#position=8&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:08:48,Sony,Bravia,KD-60X690E,"OLED  65""",Negro,110V/240V,Sí,,,,135.68 cm x 8.6 cm x 78.61 cm,19 kg,"Baterías,Cable de alimentación,Control remoto",LED,"65 """,4K,3840 px - 2160 px,16:9,240 Hz,Sí,Sí,3,3,2,20 W,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse",Sí,,Sí,No,Sí,,"Netflix,Web browser,YouTube",Linux,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Televisor Sony Bravia Xr A80k 4k Hdr Oled De 65 ,GT,None,Televisores,Q,,4296,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-523076526-televisor-sony-bravia-xr-a80k-4k-hdr-oled-de-65-_JM#position=9&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:08:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sony - 65  Clase Bravia Xr A80j Serie Oled 4k Uhd ,GT,None,Televisores,Q,,2300,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521757027-sony-65-clase-bravia-xr-a80j-serie-oled-4k-uhd-_JM#position=13&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Samsung Qn75q7fn Smart Qled Oled 4k Ultra Hd 75 Tv,GT,None,Televisores,Q,,1850,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-520931515-samsung-qn75q7fn-smart-qled-oled-4k-ultra-hd-75-tv-_JM#position=14&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:06,Samsung,Smart Qled,4k Ultra Hd 75 Tv,Qn75q7fn  Oled,,100V/240V,Sí,,,Sí,,,,QLED,"75 """,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Samsung Neo Qled 4k Tv ,GT,None,Televisores,Q,,1750,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521770013-samsung-neo-qled-4k-tv-_JM#position=15&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:12,Samsung,Series Q,,,,100V/240V,Sí,,,,,,,,"75 """,4K,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Samsung Smart Tv 65 Pulgadas 4k Uhd Pantalla Curva Modelo ,GT,None,Televisores,Q,,2133,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521646549-samsung-smart-tv-65-pulgadas-4k-uhd-pantalla-curva-modelo-_JM#position=16&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59657,22/03/2023 11:09:17,Samsung,,,,,100V/240V,Sí,,Sí,,,,,,"65 """,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sony Playstation 4 Pro 1tb,GT,None,Televisores,Q,,2099,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-523089532-sony-playstation-4-pro-1tb-_JM#position=18&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:24,Sony,PlayStation,PlayStation 4,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,Pro,1 TB,4G,Plug and play TV game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Samsung Au8000 85 Class Hdr 4k Uhd Smart Led Tv,GT,None,Televisores,Q,,1968,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-523011592-samsung-au8000-85-class-hdr-4k-uhd-smart-led-tv-_JM#position=22&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Samsung Au8000 85 Class Hdr 4k Uhd Smart Led Tv,GT,None,Televisores,Q,,1897,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-520886010-samsung-au8000-85-class-hdr-4k-uhd-smart-led-tv-_JM#position=25&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,GT,None,Televisores,U$S,,500,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-522608519-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=26&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:42,Sony,A8h Series,Oled 4k Uhd Smart Android Tv,,,,Sí,Sí,,Sí,,,,,"65 """,,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Microsoft Xbox Series X 1tb Video Game Console,GT,None,Televisores,Q,,1576,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-521874006-microsoft-xbox-series-x-1tb-video-game-console-_JM#position=28&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Samsung Au8000 85 Class Hdr 4k Uhd Smart Led Tv,GT,None,Televisores,Q,,2905,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-521815505-samsung-au8000-85-class-hdr-4k-uhd-smart-led-tv-_JM#position=35&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:09:53,Samsung,Series 8,UN65TU8300,UN65TU8300KXZL,,100V/240V,Sí,,Sí,,1452.7 mm x 120.9 mm x 837.3 mm,25 kg,"Baterías,Cable de alimentación,Manual,Manual electrónico,Smart control TM2050A",LED,"65 """,4K,3840 px - 2160 px,16:9,,Sí,Sí,3,2,2,20 W,Dolby Digital Plus,Sí,50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Apple TV,Gallery,Google Play Movies & TV,Netflix,Prime Video,Samsung Promotion,SmartThings,Web browser,YouTube",Tizen,Sí,Sí,Sí,Sí,Bixby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Vendo Casa Nueva De 3 Habitaciones En El Km 20 Carretera A El Salvador. ,GT,None,Televisores,U$S,,149000,,,1,None,,https://casa.mercadolibre.com.gt/MGT-523414538-vendo-casa-nueva-de-3-habitaciones-en-el-km-20-carretera-a-el-salvador-_JM#position=37&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-,22/03/2023 11:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Smart Tv Qüint 32 Qt1-32frame Frame Hd Netflix Usb Hdmi,GT,None,Televisores,Q,,1717,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-522985552-smart-tv-quint-32-qt1-32frame-frame-hd-netflix-usb-hdmi-_JM#position=38&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721,22/03/2023 11:10:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,LG 55  Class 4k Uhd Oled Web Os Smart Tv With Dolby Vision,GT,None,Televisores,U$S,,700,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-523349506-lg-55-class-4k-uhd-oled-web-os-smart-tv-with-dolby-vision-_JM#position=39&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59657,22/03/2023 11:10:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LG 75 Nanocell 99 Series 8k Smart Uhd Tv Con Ai Thinq,GT,None,Televisores,Q,,2325,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-522342001-lg-75-nanocell-99-series-8k-smart-uhd-tv-con-ai-thinq-_JM#position=40&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:10:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Anycast  M3 Plus Wifi Display Para Realizar Presentaciones ,GT,None,Televisores,Q,,165,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-521692050-anycast-m3-plus-wifi-display-para-realizar-presentaciones-_JM#position=41&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59657,22/03/2023 11:10:25,,,,,,,,,,Sí,,,,,,,,,,Sí,Sí,1,1,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Se Vende Casa En Residencial Santa Delfina, Construcción De 240m², Sacatepequez",GT,None,Televisores,U$S,,445000,,,1,None,,https://casa.mercadolibre.com.gt/MGT-522225094-se-vende-casa-en-residencial-santa-delfina-construccion-de-240m-sacatepequez-_JM#position=43&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1,22/03/2023 11:10:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Rento Casa En Villas El Renacer 2, San Jose Pinula",GT,None,Televisores,Q,,4000,,,1,None,,https://casa.mercadolibre.com.gt/MGT-523206674-rento-casa-en-villas-el-renacer-2-san-jose-pinula-_JM#position=45&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:10:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Brand New Samsung Galaxy Z Fold4 512gb Phantom Black Unlocke,GT,None,Televisores,U$S,,650,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-523869558-brand-new-samsung-galaxy-z-fold4-512gb-phantom-black-unlocke-_JM#position=48&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59,22/03/2023 11:10:44,Samsung,Galaxy Z,Z Fold4 Dual SIM,,,,,,,,,263 g,,Infinity Flex Display,"7.6 """,,,,120 Hz,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,8,,,,,1 TB,12 GB,No,5G,USB-C,Sí,No,Sí,Sí,No,Sí,50 Mpx,7680 px x 4320 px,10 Mpx,"Autoenfoque,Flash LED,HDR frontal,HDR10+ video,Modo timer",50 Mpx/12 Mpx/10 Mpx,f 1.8/f 2.2/f 2.4,10 Mpx/4 Mpx,f 2.2/f 1.8,3,1,3x,30x,3840 px x 2160 px,Sí,No,Sí,Sí,No,155.1 mm x 130.1 mm x 6.3 mm,155.1 mm,67.1 mm,15.8 mm,Sí,Liberado,No,Sí,Nano-SIM,2,No,Android,12,One UI 4,Snapdragon 8+ Gen 1,3.18 GHz,Adreno 730,QXGA+,1812 px x 2176 px,Dynamic AMOLED 2X,Dynamic AMOLED 2X,374 ppi,1200 cd/m²,"6.2 """,402 ppi,120 Hz,904 px x 2316 px,21.6:18,23.1:9,Sí,Sí,4400 mAh,Polímero de litio,Sí,Sí,No,IPX8,No,Sí,No,Sí,Sí,Sí,Sí,Sí
49,Televisor Philips De 75 Pulgadas Clase 4k Ultra Hd 2160p,GT,None,Televisores,Q,,5000,,,1,None,,https://articulo.mercadolibre.com.gt/MGT-522478529-televisor-philips-de-75-pulgadas-clase-4k-ultra-hd-2160p-_JM#position=49&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd596572,22/03/2023 11:10:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
