,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Con USB,Con HDMI,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es curvo,Es portátil,Voltaje,Es 3D,Tipo de pantalla,Peso,Cantidad de núcleos del procesador,Con Wi-Fi,Con Bluetooth,Con ethernet,Capacidad de almacenamiento,Sistema operativo,Cantidad de puertos HDMI,Cantidad de puertos USB,Con apagado automático,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Apps integradas,Frecuencia,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Brillo,Tiempo de respuesta,Es inflamable,Es kit,Con sistema de montaje VESA incorporado,Ancho x Altura,Ancho con soporte,Profundidad con soporte,Altura con soporte,Con entrada S/PDIF,Con entrada por video componentes,Con entrada de antena RF
25,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,CR,None,Televisores,U$S,,500,,5,988,(988 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525620727-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=46&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:48:20,Sony,A8h Series,Oled 4k Uhd Smart Android Tv,,,Sí,Sí,"65 """,,Sí,Sí,,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sony Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,CR,None,Televisores,₡,,179748,,5,88,(88 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526017038-sony-bravia-xr-xr65x90j-led-hdr-4k-ultra-hd-smart-tv-_JM#position=47&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:48:24,Sony,Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,Negro,Sí,Sí,"65 """,4K,Sí,Sí,No,No,,Sí,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pantalla Samsung® 65/4k Mode (un65tu6900pxpa) Nueva En Caja,CR,None,Televisores,U$S,,400,,1,98,(98 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523326084-pantalla-samsung-654k-mode-un65tu6900pxpa-nueva-en-caja-_JM#position=48&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:48:28,Samsung,,UN65TU6900PXPA,,Negro,Sí,Sí,"65 """,4K,Sí,Sí,No,No,100V/240V,Sí,"Whats""""App +13306198559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tv Streaming Device By Google 4k Tipo No Chromecast Jwk,CR,None,Televisores,₡,,12500,,5,41,(41 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523332614-tv-streaming-device-by-google-4k-tipo-no-chromecast-jwk-_JM#position=49&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:48:30,Genérico,,,,Negro,Sí,,"1 """,4K,,,,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pantalla Sony® 55/4k Modelo (xbr-55x955g) Nueva En Caja,CR,None,Televisores,U$S,,400,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523313086-pantalla-sony-554k-modelo-xbr-55x955g-nueva-en-caja-_JM#position=1&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:48:37,Sony,,XBR-55X955G,,Negro,Sí,Sí,"55 """,4K,Sí,Sí,No,No,120/220,Sí,"Whats""""App +13306198559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Control Pantalla Aoc,CR,None,Televisores,₡,,5000,,25,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525009502-control-pantalla-aoc-_JM#position=2&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:48:39,AOC,Control,,,,,,,,,Sí,,,,,LCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Smart Tv Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr,CR,None,Televisores,U$S,,500,,1,98,(98 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523319595-smart-tv-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-_JM#position=4&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:48:46,Samsung,P725-Series,55P725,,Negro,Sí,Sí,"75 """,8K,Sí,Sí,No,No,120/220,Sí,"Whats""""App +13306198559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pantalla Tcl® 32s60ai Smart /32pulgada  ,CR,None,Televisores,₡,,175000,,,3,(3 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523748579-pantalla-tcl-32s60ai-smart-32pulgada-_JM#position=6&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:48:51,TCL,,32S60AI,,,Sí,Sí,"32 """,,,Sí,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pantalla Sony® 65/4k Hdr (xbr65x856f) Nueva En Caja,CR,None,Televisores,₡,,1199000,,,1,None,,https://articulo.mercadolibre.co.cr/MCR-525217813-pantalla-sony-654k-hdr-xbr65x856f-nueva-en-caja-_JM#position=10&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:05,Sony,,XBR-65X856F,,Negro,Sí,Sí,"65 """,4K,Sí,No,No,No,,No,LED,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,
34,Pantalla LG® 70-pulgada 4k (70um7370psa) Nueva En Caja,CR,None,Televisores,₡,,799000,,,3,(3 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525243716-pantalla-lg-70-pulgada-4k-70um7370psa-nueva-en-caja-_JM#position=12&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:12,LG,AI ThinQ,70UM7370PSA,70UM7370PSA,,Sí,Sí,"70 """,4K,Sí,Sí,,,100V/240V,,LED,30.7 kg,4,Sí,Sí,Sí,,webOS,3,2,,3840 px - 2160 px,16:9,,157.8 cm x 9.1 cm x 91.3 cm,2,20 W,DTS Virtual:X,"Baterías,Cable de alimentación,Control remoto",,,Sí,,,,,,,,,,,,,,,
35,Pantalla Tcl® 32s60ai Smart /32pulgada  ,CR,None,Televisores,₡,,175000,,,3,(3 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523943501-pantalla-tcl-32s60ai-smart-32pulgada-_JM#position=13&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:15,TCL,,32S60AI,,,Sí,Sí,"32 """,,,Sí,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Televisor-LG-c2pua 83-4k-hdr-smart-oled-evo,CR,None,Televisores,₡,,1189700,,,10,(10 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524970650-televisor-lg-c2pua-83-4k-hdr-smart-oled-evo-_JM#position=14&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:17,LG,Smart OLED,OLED83C2PUA,OLED83C2PUA,Negro,Sí,Sí,"83 """,4K,Sí,Sí,Sí,Sí,100V/240V,Sí,OLED,,,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sony - 65 Clase A8h Serie Oled 4k Uhd Smart Android Tv,CR,None,Televisores,₡,,255980,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525022788-sony-65-clase-a8h-serie-oled-4k-uhd-smart-android-tv-_JM#position=16&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:23,Sony,Bravia,KD-60X690E,,,Sí,Sí,"60 """,4K,Sí,Sí,,,110V/240V,,LED,19 kg,,Sí,No,Sí,,Linux,3,3,Sí,3840 px - 2160 px,16:9,240 Hz,135.68 cm x 8.6 cm x 78.61 cm,2,20 W,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse","Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,,,,,,,,,,,,,
38,Televisor Samsung 65 Qled  Smart Tv Hdmi Usb,CR,None,Televisores,₡,,146500,,50,49,(49 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523326070-televisor-samsung-65-qled-smart-tv-hdmi-usb-_JM#position=1&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:10,Samsung,QLED,PTV65P50AGSG,"Whats""""App  +1 (619) 4380682",Negro,Sí,Sí,"65 """,4K,Sí,Sí,No,No,,Sí,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Nosamsung Smart Tv 75 Pulgadas ,CR,None,Televisores,₡,,180000,,5,980,(980 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523449525-nosamsung-smart-tv-75-pulgadas-_JM#position=6&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:15,Samsung,Qn75q60tapxpa,Qn75q60tapxpa,,Negro,Sí,No,"75 """,4K,Sí,Sí,No,No,110,No,LED,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
