,Country Code,Category,Name,Avg Price,Currency,Nb of Offers,Rank,Rating,Reviews,Description,scrape_link,date_scraped,Varumärke,Bildstorlek,Upplösning,Bildskärmsteknik,HDR,Smart TV,Lanseringsår,Pris/tum,Produktnamn,Kategori,"TV-mottagare, digital",Dubbla mottagare,Stöd för CI/CA-modul,CI+,Typ av digital-mottagare,"Analog 3,5mm-ingång (Aux)",Digital optisk ut (S/PDIF),HDMI,Antal HDMI-ingångar,HDCP-version,HDMI-version,Standarder som stöds,Hörlursutgång,Komponent in (YPbPr/YCbCr),Komposit in,USB-kontakt,Inspelningsfunktion via USB (PVR),USB 2.0,USB 3.1 Gen 1 (5Gbps),USB-kontakter (totalt),VGA in,Övriga anslutningar,Bildfrekvens,Bildförhållande,Bildstorlek (cm),Ljusstyrka,Rörelseförbättring (frekvens/index),Typ av index/mätmetod,Skärmtyp,Stödda videoformat,Uppdateringsfrekvens,Bildfiler som stöds,Ljudfiler som stöds,Ljudformat,Videofiler som stöds,Tillgängliga färger,Utformning panel,"Djup, utan stativ","Höjd, utan stativ",Mått (BxHxD),Bredd,Djup,Höjd,Produktvikt,"Vikt, utan stativ",Funktioner,Internettjänster/appar som stöds,Operativsystem,Ethernet-anslutning,Trådlöst nätverk (Wi-Fi),Trådlös nätverkstandard (IEEE 802.11),3D-stöd (3D-ready),DLNA,Full HD (HD ready 1080p),4K120,Ultra HD-certifierad (UHD/4K),Typ av HDR,Streaming-standarder,VESA-fäste,Typ av VESA-fäste,Inbyggda högtalare,Processorhastighet,Anslutning för 9V/12V/14V,Effektförbrukning drift (min-max),Effektförbrukning standby/viloläge,Energiförbrukning i HDR-läge (per 1000h),Energiförbrukning i SDR-läge (per 1000h),Energiklass (A-G),Energiklass (HDR),Bakbelysning,Diodplacering,Teknologier,Paneltyp,Varumärke,Bildstorlek,Upplösning,Bildskärmsteknik,HDR,Smart TV,Lanseringsår,Pris/tum,Produktnamn,Kategori,"TV-mottagare, digital",Dubbla mottagare,Stöd för CI/CA-modul,CI+,Typ av digital-mottagare,"Analog 3,5mm-ingång (Aux)",Digital optisk ut (S/PDIF),HDMI,Antal HDMI-ingångar,HDCP-version,HDMI-version,Standarder som stöds,Hörlursutgång,Komponent in (YPbPr/YCbCr),Komposit in,USB-kontakt,Inspelningsfunktion via USB (PVR),USB 2.0,USB 3.1 Gen 1 (5Gbps),USB-kontakter (totalt),VGA in,Övriga anslutningar,Bildfrekvens,Bildförhållande,Bildstorlek (cm),Ljusstyrka,Rörelseförbättring (frekvens/index),Typ av index/mätmetod,Skärmtyp,Stödda videoformat,Uppdateringsfrekvens,Bildfiler som stöds,Ljudfiler som stöds,Ljudformat,Videofiler som stöds,Tillgängliga färger,Utformning panel,"Djup, utan stativ","Höjd, utan stativ",Mått (BxHxD),Bredd,Djup,Höjd,Produktvikt,"Vikt, utan stativ",Funktioner,Internettjänster/appar som stöds,Operativsystem,Ethernet-anslutning,Trådlöst nätverk (Wi-Fi),Trådlös nätverkstandard (IEEE 802.11),3D-stöd (3D-ready),DLNA,Full HD (HD ready 1080p),4K120,Ultra HD-certifierad (UHD/4K),Typ av HDR,Streaming-standarder,VESA-fäste,Typ av VESA-fäste,Inbyggda högtalare,Processorhastighet,Anslutning för 9V/12V/14V,Effektförbrukning drift (min-max),Effektförbrukning standby/viloläge,Energiförbrukning i HDR-läge (per 1000h),Energiförbrukning i SDR-läge (per 1000h),Energiklass (A-G),Energiklass (HDR),Bakbelysning,Diodplacering,Teknologier,Paneltyp
0,SW,TV,"LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",18722.166666666668,SEK,18,Rank 1,4.2,(22 omdömen),"Det billigaste priset för LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 12 989 kr. Det är den populäraste produkten i kategorin TV med ett genomsnittligt betyg på 4.2 av 5.  Prisjakt jämför priser och erbjudanden från 18 butiker. ",https://www.prisjakt.nu/produkt.php?p=5732274,14/08/2022 11:22:54,LG,65 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,199.83 kr/tum,"LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Nej,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,eARC,Ja,0 st,0 st,Ja,Ja,3 st,0 st,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,165 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,"JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, WMV9 HD (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9","Svart, Vit, Silver, Grå",Platt,46 mm,831 mm,,1448 mm,251 mm,861 mm,32.61 kg,24 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Time-shift, Stöd för NFC, Mobilapp för styrning av funktioner, Stöd för HbbTV, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Webbläsare, Netflix, Viaplay, SVT Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,Nej,126 - 222 W,0.5 W,222 kWh,126 kWh,G,G,,,,,LG,65 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,199.83 kr/tum,"LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Nej,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,eARC,Ja,0 st,0 st,Ja,Ja,3 st,0 st,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,165 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,"JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, WMV9 HD (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9","Svart, Vit, Silver, Grå",Platt,46 mm,831 mm,,1448 mm,251 mm,861 mm,32.61 kg,24 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Time-shift, Stöd för NFC, Mobilapp för styrning av funktioner, Stöd för HbbTV, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Webbläsare, Netflix, Viaplay, SVT Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,Nej,126 - 222 W,0.5 W,222 kWh,126 kWh,G,G,,,,
1,SW,TV,"LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",13332.764705882353,SEK,17,Rank 2,4.1,(3 omdömen),"Det billigaste priset för LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 9 490 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.1 av 5.  Prisjakt jämför priser och erbjudanden från 17 butiker. ",https://www.prisjakt.nu/produkt.php?p=5732268,14/08/2022 11:23:01,LG,55 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,172.55 kr/tum,"LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,eARC,Ja,0 st,0 st,Ja,Ja,3 st,0 st,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,139 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,"JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, WMV9 HD (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9","Svart, Vit, Silver, Grå",Platt,46.9 mm,810 mm,,1345 mm,251 mm,738 mm,18.8 kg,18.9 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Time-shift, Stöd för NFC, Mobilapp för styrning av funktioner, Stöd för HbbTV, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Webbläsare, Netflix, Viaplay, HBO GO, SVT Play, TV4 Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,Nej,106 W,0.5 W,171 kWh,106 kWh,G,G,,,,,LG,55 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,172.55 kr/tum,"LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,eARC,Ja,0 st,0 st,Ja,Ja,3 st,0 st,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,139 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,"JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, WMV9 HD (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9","Svart, Vit, Silver, Grå",Platt,46.9 mm,810 mm,,1345 mm,251 mm,738 mm,18.8 kg,18.9 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Time-shift, Stöd för NFC, Mobilapp för styrning av funktioner, Stöd för HbbTV, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Webbläsare, Netflix, Viaplay, HBO GO, SVT Play, TV4 Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,Nej,106 W,0.5 W,171 kWh,106 kWh,G,G,,,,
2,SW,TV,"Philips 58PUS9006 58"" 4K Ultra HD (3840x2160) LCD Smart TV",10604.285714285714,SEK,7,Rank 3,3.7,(2 omdömen),"Det billigaste priset för Philips 58PUS9006 58"" 4K Ultra HD (3840x2160) LCD Smart TV just nu är 5 990 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 3.7 av 5.  Prisjakt jämför priser och erbjudanden från 7 butiker. ",https://www.prisjakt.nu/produkt.php?p=5785188,14/08/2022 11:23:04,Philips,58 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,,103.28 kr/tum,"Philips 58PUS9006 58"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,Nej,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,4 st,,2.1,,Ja,,,Ja,,,,2 st,,,"24p, 30p, 60p, 50p",16:9,146 cm,,,,LED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",50 Hz,"JPEG/JPG, BMP, GIF","MP3, WMA, WAV (PCM), AAC",Dolby Atmos,"MPEG1, MPEG2, MPEG4, AVC/H.264, AVI, Matroska (MKV), HEVC/H.265",Grå,Platt,80 mm,749.7 mm,,1290 mm,1290 mm,820 mm,20.2 kg,17.4 kg,"Bluetooth, Röststyrning, Omgivningsljus (Ambilight), Stöd för HbbTV, Adaptiv synk-teknik, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Netflix, SVT Play, Amazon Prime Video",Android TV,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,,Ja,"Dolby Vision, HDR10, HLG, HDR10+",,Ja,200x300mm,2-kanal (Stereo),,Nej,90 W,0.3 W,128 kWh,90 kWh,,G,LED (lysdiod),Bakbelyst (Back),,VA,Philips,58 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,,103.28 kr/tum,"Philips 58PUS9006 58"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,Nej,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,4 st,,2.1,,Ja,,,Ja,,,,2 st,,,"24p, 30p, 60p, 50p",16:9,146 cm,,,,LED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",50 Hz,"JPEG/JPG, BMP, GIF","MP3, WMA, WAV (PCM), AAC",Dolby Atmos,"MPEG1, MPEG2, MPEG4, AVC/H.264, AVI, Matroska (MKV), HEVC/H.265",Grå,Platt,80 mm,749.7 mm,,1290 mm,1290 mm,820 mm,20.2 kg,17.4 kg,"Bluetooth, Röststyrning, Omgivningsljus (Ambilight), Stöd för HbbTV, Adaptiv synk-teknik, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Netflix, SVT Play, Amazon Prime Video",Android TV,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,,Ja,"Dolby Vision, HDR10, HLG, HDR10+",,Ja,200x300mm,2-kanal (Stereo),,Nej,90 W,0.3 W,128 kWh,90 kWh,,G,LED (lysdiod),Bakbelyst (Back),,VA
3,SW,TV,"LG OLED77B1 77"" 4K Ultra HD (3840x2160) OLED Smart TV",23323.333333333332,SEK,3,Rank 4,4.1,(4 omdömen),"Det billigaste priset för LG OLED77B1 77"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 19 990 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.1 av 5.  Prisjakt jämför priser och erbjudanden från 3 butiker. ",https://www.prisjakt.nu/produkt.php?p=5724842,14/08/2022 11:23:07,LG,77 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,77 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SW,TV,"Samsung QLED QE50Q60A 50"" 4K Ultra HD (3840x2160) Smart TV",7230.375,SEK,16,Rank 5,,,"Det billigaste priset för Samsung QLED QE50Q60A 50"" 4K Ultra HD (3840x2160) Smart TV just nu är 5 490 kr. Det är en av de 10 mest populära produkterna i kategorin TV.  Prisjakt jämför priser och erbjudanden från 16 butiker. ",https://www.prisjakt.nu/produkt.php?p=5731001,14/08/2022 11:23:11,Samsung,50 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,109.8 kr/tum,"Samsung QLED QE50Q60A 50"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,3 st,,2.0,,,,,Ja,Ja,,,2 st,,,"24p, 30p, 60p, 50p",16:9,125 cm,,Ja,Samsung Picture Quality Index (PQI) 3100,QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",50 Hz,,,Dolby Digital Plus,,Svart,Platt,25.7 mm,644.5 mm,,1118.3 mm,228.8 mm,683.6 mm,12.2 kg,11.5 kg,"Bluetooth, Röststyrning, Time-shift, Stöd för HbbTV, ALLM",Webbläsare,Tizen OS,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",,Ja,Ja,,Ja,"HDR10, HLG",,Ja,200x200mm,,,Nej,67 W,0.5 W,100 kWh,67 kWh,G,G,LED (lysdiod),Bakbelyst (Back),Quantum dot,,Samsung,50 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,109.8 kr/tum,"Samsung QLED QE50Q60A 50"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,3 st,,2.0,,,,,Ja,Ja,,,2 st,,,"24p, 30p, 60p, 50p",16:9,125 cm,,Ja,Samsung Picture Quality Index (PQI) 3100,QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",50 Hz,,,Dolby Digital Plus,,Svart,Platt,25.7 mm,644.5 mm,,1118.3 mm,228.8 mm,683.6 mm,12.2 kg,11.5 kg,"Bluetooth, Röststyrning, Time-shift, Stöd för HbbTV, ALLM",Webbläsare,Tizen OS,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",,Ja,Ja,,Ja,"HDR10, HLG",,Ja,200x200mm,,,Nej,67 W,0.5 W,100 kWh,67 kWh,G,G,LED (lysdiod),Bakbelyst (Back),Quantum dot,
5,SW,TV,"LG OLED55B1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",10709.444444444445,SEK,9,Rank 6,4.2,(5 omdömen),"Det billigaste priset för LG OLED55B1 55"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 8 990 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.2 av 5.  Prisjakt jämför priser och erbjudanden från 9 butiker. ",https://www.prisjakt.nu/produkt.php?p=5724832,14/08/2022 11:23:14,LG,55 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,55 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SW,TV,"Samsung The Frame QE32LS03T 32"" Full HD (1920x1080) QLED Smart TV",4392.066666666667,SEK,15,Rank 7,,,"Det billigaste priset för Samsung The Frame QE32LS03T 32"" Full HD (1920x1080) QLED Smart TV just nu är 3 634 kr. Det är en av de 10 mest populära produkterna i kategorin TV.  Prisjakt jämför priser och erbjudanden från 25 butiker. ",https://www.prisjakt.nu/produkt.php?p=5855235,14/08/2022 11:23:17,Samsung,32 tum,Full HD (1920x1080),LCD,Ja,Ja,2020,113.56 kr/tum,"Samsung The Frame QE32LS03T 32"" Full HD (1920x1080) QLED Smart TV",TV,Ja,,Ja,Ja,"DVB-C (digital kabel-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,2 st,,,ARC,,,,Ja,,,,2 st,,,,16:9,80 cm,,Ja,Samsung Picture Quality Index (PQI) 1000,,"720p, 1080p (Full HD), 1080i, 2160p (4K Ultra HD)",,,MP3,,,"Svart, Vit, Rosa, Titan",Platt,24.7 mm,419.4 mm,,728.9 mm,143 mm,452 mm,5.3 kg,5.3 kg,"Bluetooth, One Connect",,Tizen OS,,Ja,802.11ac (Wi-Fi 5),,,Ja,,Nej,,,,,2-kanal (Stereo),,,33 - 55 W,0.5 W,55 kWh,33 kWh,G,,LED (lysdiod),,Quantum dot,,Samsung,32 tum,Full HD (1920x1080),LCD,Ja,Ja,2020,113.56 kr/tum,"Samsung The Frame QE32LS03T 32"" Full HD (1920x1080) QLED Smart TV",TV,Ja,,Ja,Ja,"DVB-C (digital kabel-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,2 st,,,ARC,,,,Ja,,,,2 st,,,,16:9,80 cm,,Ja,Samsung Picture Quality Index (PQI) 1000,,"720p, 1080p (Full HD), 1080i, 2160p (4K Ultra HD)",,,MP3,,,"Svart, Vit, Rosa, Titan",Platt,24.7 mm,419.4 mm,,728.9 mm,143 mm,452 mm,5.3 kg,5.3 kg,"Bluetooth, One Connect",,Tizen OS,,Ja,802.11ac (Wi-Fi 5),,,Ja,,Nej,,,,,2-kanal (Stereo),,,33 - 55 W,0.5 W,55 kWh,33 kWh,G,,LED (lysdiod),,Quantum dot,
7,SW,TV,"LG OLED48C1 48"" 4K Ultra HD (3840x2160) OLED Smart TV",12048.307692307691,SEK,13,Rank 8,3.7,(4 omdömen),"Det billigaste priset för LG OLED48C1 48"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 8 876 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 3.7 av 5.  Prisjakt jämför priser och erbjudanden från 13 butiker. ",https://www.prisjakt.nu/produkt.php?p=5732267,14/08/2022 11:23:21,LG,48 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG,48 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SW,TV,"Samsung QLED QE65QN85A 65"" 4K Ultra HD (3840x2160) Smart TV",15528.466666666667,SEK,15,Rank 9,3.8,(1 omdöme),"Det billigaste priset för Samsung QLED QE65QN85A 65"" 4K Ultra HD (3840x2160) Smart TV just nu är 12 450 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 3.8 av 5.  Prisjakt jämför priser och erbjudanden från 15 butiker. ",https://www.prisjakt.nu/produkt.php?p=5727078,14/08/2022 11:23:26,Samsung,65 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,191.54 kr/tum,"Samsung QLED QE65QN85A 65"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,,Ja,4 st,,2.1,eARC,Nej,,,Ja,,,,2 st,,,"24p, 30p, 60p, 50p, 120p",16:9,163 cm,,,,Neo QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,,,,"Svart, Silver, Grå",Platt,26.9 mm,,,1446.3 mm,290 mm,891.1 mm,28.1 kg,24.2 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Stöd för NFC, Adaptiv synk-teknik, ALLM, Variable Refresh Rate (VRR)",,Tizen OS,,Ja,802.11ac (Wi-Fi 5),,Ja,Ja,Ja,Ja,"HDR10, HLG, HDR10+",,Ja,400x300mm,2-kanal (Stereo),,Nej,,0.5 W,193 kWh,101 kWh,F,G,LED (lysdiod),Bakbelyst (Back),"Quantum dot, Local Dimming, Mini-LED",IPS,Samsung,65 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,191.54 kr/tum,"Samsung QLED QE65QN85A 65"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,,Ja,4 st,,2.1,eARC,Nej,,,Ja,,,,2 st,,,"24p, 30p, 60p, 50p, 120p",16:9,163 cm,,,,Neo QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,,,,"Svart, Silver, Grå",Platt,26.9 mm,,,1446.3 mm,290 mm,891.1 mm,28.1 kg,24.2 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Stöd för NFC, Adaptiv synk-teknik, ALLM, Variable Refresh Rate (VRR)",,Tizen OS,,Ja,802.11ac (Wi-Fi 5),,Ja,Ja,Ja,Ja,"HDR10, HLG, HDR10+",,Ja,400x300mm,2-kanal (Stereo),,Nej,,0.5 W,193 kWh,101 kWh,F,G,LED (lysdiod),Bakbelyst (Back),"Quantum dot, Local Dimming, Mini-LED",IPS
9,SW,TV,"Samsung QLED QE65QN90A 65"" 4K Ultra HD (3840x2160) Smart TV",18879.785714285714,SEK,14,Rank 10,3.5,(4 omdömen),"Det billigaste priset för Samsung QLED QE65QN90A 65"" 4K Ultra HD (3840x2160) Smart TV just nu är 12 990 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 3.5 av 5.  Prisjakt jämför priser och erbjudanden från 14 butiker. ",https://www.prisjakt.nu/produkt.php?p=5727077,14/08/2022 11:23:29,Samsung,65 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,65 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
