,item_channel,program_date,item_name,item_info,program_start_time,program_duration,program_rebroadcast,link
0,Canal + Multisports,Programmes  4 janvier    ,"Vos programmes Foot, Golf et Rugby",Multisports sur Canal + Multisports,Aujourd'hui • 11h00, 5h,EN DIRECT,https://tv-sports.fr/tennis-united-cup-2023-tv-x884216
1,beIN SPORTS 3,Programmes  4 janvier    ,Tennis United Cup 2023,Tennis • United Cup 2023 sur beIN SPORTS 3,,,,https://tv-sports.fr/denver-nuggets-boston-celtics-basket-ball-nba-2022-2023-tv-x884214
2,beIN SPORTS MAX 6,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 6,,,,https://tv-sports.fr/baltimore-ravens-pittsburgh-steelers-football-americain-nfl-2022-2023-tv-x884215
3,Canal + Multisports 1,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,,,,https://tv-sports.fr/france-croatie-tennis-united-cup-2023-tv-x885185
4,L'Equipe,Programmes  4 janvier    ,Poursuite messieurs et dames et Mass Star messieurs et dames,Biathlon • IBU Cup à Val Ridanna 2022/2023 sur L'Equipe,Jeudi 05/01 • 01h30, 2h,EN DIRECT,https://tv-sports.fr/tennis-tournoi-wta-d-adelaide-1-2023-tv-x884333
5,Eurosport 1,Programmes  4 janvier    ,Saut à ski Tournée des 4 Tremplins 2022/2023,Saut à ski • Tournée des 4 Tremplins 2022/2023 sur Eurosport 1,Aujourd'hui • 20h25, 2h30min,EN DIRECT,https://tv-sports.fr/le-grand-direct-tv-x610270
6,Liverpool,Programmes  4 janvier    ,Brentford / Liverpool,Foot • Premier League sur Canal+ Foot,Aujourd'hui • 18h00, 45min,Rediffusion,https://tv-sports.fr/nba-extra-tv-x868180
7,Montpellier,Programmes  4 janvier    ,Bordeaux-Bègles / Montpellier,Rugby • TOP 14 sur Canal+ Sport,,,,https://tv-sports.fr/strasbourg-troyes-ligue-1-foot-tv-x921
8,Brighton & Hove Albion,Programmes  4 janvier    ,Everton / Brighton & Hove Albion,Foot • Premier League sur Canal + Premier League,,,,https://tv-sports.fr/lille-reims-ligue-1-foot-tv-x922
9,Equidia,Programmes  4 janvier    ,Le live du Quinté+,Hippisme sur Equidia,Aujourd'hui • 17h45, 1h,EN DIRECT,https://tv-sports.fr/l-equipe-de-greg-tv-x856172
10,Liam Davies,Programmes  4 janvier    ,Ionut Baluta / Liam Davies,Boxe • Championnat du monde sur RMC Sport 1,Aujourd'hui • 17h15, 1h08min,EN DIRECT,https://tv-sports.fr/l-equipe-de-greg-tv-x856171
11,Canal + Top 14,Programmes  4 janvier    ,La chaîne du Top 14,Rugby sur Canal + Top 14,Dimanche 08/01 • 15h35,,Rediffusion,https://tv-sports.fr/brentford-liverpool-football-premier-league-2022-2023-tv-x884424
12,Canal+ Sport 360,Programmes  4 janvier    ,Padel Master : Best of WPT et Premier Padel,Multisports sur Canal+ Sport 360,,,,https://tv-sports.fr/montpellier-marseille-ligue-1-foot-tv-x923
13,RMC Découverte,Programmes  4 janvier    ,Pêche XXL,Pêche • Chasing Monsters sur RMC Découverte,,,,https://tv-sports.fr/usc-tulane-football-americain-championnat-ncaa-2022-tv-x884432
14,Eurosport 2,Programmes  4 janvier    ,Ski de fond Epreuve d'Oberstdorf 2022/2023,Ski de fond • Epreuve d'Oberstdorf 2022/2023 sur Eurosport 2,Aujourd'hui • 19h00, 2h30min,EN DIRECT,https://tv-sports.fr/decrochage-daily-sport-360-tv-x876400
15,beIN SPORTS MAX 4,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 4,Aujourd'hui • 06h00, 24h,Rediffusion,https://tv-sports.fr/vos-programmes-foot-golf-et-rugby-tv-x740064?xea=63b52d53340ce
16,Hellas Vérone,Programmes  4 janvier    ,Torino / Hellas Vérone ✨,Foot • Serie A sur beIN SPORTS MAX 5,Aujourd'hui • 11h00, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d5342428
17,Sport en France,Programmes  4 janvier    ,Moteurs,Automobilisme sur Sport en France,Aujourd'hui • 12h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d5347702
18,beIN SPORTS 2,Programmes  4 janvier    ,Sénégal : pour l'éternité,Football sur beIN SPORTS 2,, 3h,,https://tv-sports.fr/poursuite-messieurs-et-dames-et-mass-star-messieurs-et-dames-biathlon-ibu-cup-a-val-ridanna-2022-2-tv-x884674?xea=63b52d535676e
19,Kansas,Programmes  4 janvier    ,Texas Tech / Kansas,Basket • NCAA sur beIN SPORTS 1,, 1h,,https://tv-sports.fr/saut-a-ski-tournee-des-4-tremplins-2022-2023-tv-x884504
20,ES1,Programmes  4 janvier    ,e-sport Farming Simulator League,e-sport sur ES1,,,,https://tv-sports.fr/brentford-liverpool-football-premier-league-2022-2023-tv-x884979?xea=63b52d5357dea
21,Sport en France,Programmes  4 janvier    ,Le meilleur de FTV,Multisports sur Sport en France,,,,https://tv-sports.fr/bordeaux-begles-montpellier-rugby-top-14-2022-2023-tv-x883746?xea=63b52d535a0b5
22,Arouca,Programmes  4 janvier    ,FC Porto / Arouca,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,https://tv-sports.fr/everton-brighton-hove-albion-football-premier-league-2022-2023-tv-x884518?xea=63b52d535a671
23,RMC Sport 2,Programmes  4 janvier    ,Pépite RMC Sport,Multisports sur RMC Sport 2,, 6h55min,,https://tv-sports.fr/le-live-du-quinte-plus-tv-x857996
24,RMC Découverte,Programmes  4 janvier    ,Pêche XXL,Pêche • Chasing Monsters sur RMC Découverte,,,,https://tv-sports.fr/ionut-baluta-liam-davies-boxe-championnat-du-monde-wbc-2022-tv-x877035?xea=63b52d535c016
25,Toulouse,Programmes  4 janvier    ,Clermont-Auvergne / Toulouse,Rugby • TOP 14 sur Canal+ Sport,Aujourd'hui • 06h00, 5h,Rediffusion,https://tv-sports.fr/la-chaine-du-top-14-tv-x740078?xea=63b52d535bbb1
26,Newcastle,Programmes  4 janvier    ,Arsenal / Newcastle,Foot • Premier League sur Canal+ Foot,, 1h20min,,https://tv-sports.fr/padel-master-best-of-wpt-et-premier-padel-tv-x883453?xea=63b52d535c68a
27,Canal+ Sport 360,Programmes  4 janvier    ,Moto : les Grands Prix 2022,Motocyclisme sur Canal+ Sport 360,, 55min,,https://tv-sports.fr/peche-xxl-tv-x871203?xea=63b52d535cb33
28,David Avanesyan,Programmes  4 janvier    ,Terence Crawford / David Avanesyan,Boxe • Championnat du monde sur RMC Sport 2,, 45min,,https://tv-sports.fr/ski-de-fond-epreuve-d-oberstdorf-2022-2023-tv-x884503
29,ES1,Programmes  4 janvier    ,e-sport 30. Episode 30 2023,e-sport • 30. Episode 30 2023 sur ES1,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d535ce23
30,Fulham,Programmes  4 janvier    ,Leicester / Fulham,Foot • Premier League sur Canal + Premier League,,,,https://tv-sports.fr/torino-hellas-verone-football-serie-a-2022-2023-tv-x884798
31,beIN SPORTS 2,Programmes  4 janvier    ,Ça se passe sur beIN SPORTS,Multisports sur beIN SPORTS 2,, 1h03min,,https://tv-sports.fr/moteurs-tv-x872719?xea=63b52d535fcae
32,Sport en France,Programmes  4 janvier    ,Patinage de vitesse Championnats de France Elite 2022,Patinage de vitesse • Championnats de France Elite 2022 sur Sport en France,Lundi 23/01 • 15h30, 1h,Rediffusion,https://tv-sports.fr/senegal-pour-l-eternite-tv-x853450?xea=63b52d5360050
33,Eurosport 1,Programmes  4 janvier    ,Ski Epreuve de Garmisch-Partenkirchen 2022/2023,Ski • Epreuve de Garmisch-Partenkirchen… sur Eurosport 1,,,,https://tv-sports.fr/texas-tech-kansas-basket-ball-ncaa-2022-2023-tv-x884802?xea=63b52d535feba
34,beIN SPORTS 2,Programmes  4 janvier    ,UCL Magazine Show,Football sur beIN SPORTS 2,, 35min,,https://tv-sports.fr/e-sport-farming-simulator-league-tv-x814309?xea=63b52d53601f1
35,Eurosport 2,Programmes  4 janvier    ,Ski de fond Epreuve d'Oberstdorf 2022/2023,Ski de fond • Epreuve d'Oberstdorf 2022/2023 sur Eurosport 2,, 8min,,https://tv-sports.fr/le-meilleur-de-ftv-tv-x864403?xea=63b52d53604eb
36,Canal+ Sport 360,Programmes  4 janvier    ,Moto : les Grands Prix 2022,Motocyclisme sur Canal+ Sport 360,,,,https://tv-sports.fr/fc-porto-arouca-football-championnat-du-portugal-2022-2023-tv-x883440?xea=63b52d53608c3
37,L'Equipe,Programmes  4 janvier    ,En attendant Greg,Football sur L'Equipe,Aujourd'hui • 10h30, 15min,Rediffusion,https://tv-sports.fr/pepite-rmc-sport-tv-x533045?xea=63b52d5360a39
38,RMC Découverte,Programmes  4 janvier    ,Pêche XXL,Pêche • Chasing Monsters sur RMC Découverte,, 30min,,https://tv-sports.fr/peche-xxl-tv-x334297?xea=63b52d5360ef7
39,beIN SPORTS 3,Programmes  4 janvier    ,Ça se passe sur beIN SPORTS,Multisports sur beIN SPORTS 3,,,,https://tv-sports.fr/clermont-auvergne-toulouse-rugby-top-14-2022-2023-tv-x884168?xea=63b52d5362651
40,beIN SPORTS MAX 7,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 7,,,,https://tv-sports.fr/arsenal-newcastle-football-premier-league-2022-2023-tv-x884517?xea=63b52d53610c0
41,beIN SPORTS 1,Programmes  4 janvier    ,Court Central,Tennis sur beIN SPORTS 1,, 49min,,https://tv-sports.fr/moto-les-grands-prix-2022-tv-x884515?xea=63b52d536280c
42,Sacramento Kings,Programmes  4 janvier    ,Utah Jazz / Sacramento Kings,Basket • NBA sur beIN SPORTS 3,Aujourd'hui • 15h15,,Rediffusion,https://tv-sports.fr/terence-crawford-david-avanesyan-boxe-championnat-du-monde-wbo-2022-tv-x880996?xea=63b52d53629dc
43,Lazio Rome,Programmes  4 janvier    ,Lecce / Lazio Rome ✨,Foot • Serie A sur beIN SPORTS MAX 4,, 40min,,https://tv-sports.fr/e-sport-30-episode-30-2023-tv-x885999?xea=63b52d5362d0d
44,Sport en France,Programmes  4 janvier    ,Paris Saclay - Nice Métropole,Judo • Pro League 2022 sur Sport en France,,,,https://tv-sports.fr/leicester-fulham-football-premier-league-2022-2023-tv-x885498?xea=63b52d5362edf
45,Bologne,Programmes  4 janvier    ,AS Roma / Bologne ✨,Foot • Serie A sur beIN SPORTS 2,Aujourd'hui • 06h00, 15min,Rediffusion,https://tv-sports.fr/ca-se-passe-sur-bein-sports-tv-x171050?xea=63b52d536304f
46,Eurosport 2,Programmes  4 janvier    ,Ski de fond Epreuve d'Oberstdorf 2022/2023,Ski de fond • Epreuve d'Oberstdorf 2022/2023 sur Eurosport 2,, 6h11min,,https://tv-sports.fr/patinage-de-vitesse-championnats-de-france-elite-2022-tv-x881094?xea=63b52d53631b3
47,beIN SPORTS MAX 5,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 5,, 1h,,https://tv-sports.fr/ski-epreuve-de-garmisch-partenkirchen-2022-2023-tv-x884699
48,Eurosport 1,Programmes  4 janvier    ,Ski Epreuve de Zagreb 2022/2023,Ski • Epreuve de Zagreb 2022/2023 sur Eurosport 1,, 45min,,https://tv-sports.fr/ucl-magazine-show-tv-x783396?xea=63b52d53636ab
49,Benfica Lisbonne,Programmes  4 janvier    ,Sporting Braga / Benfica Lisbonne,Foot • Liga NOS championnat Portugal sur RMC Sport 1,, 45min,,https://tv-sports.fr/ski-de-fond-epreuve-d-oberstdorf-2022-2023-tv-x884503?xea=63b52d5363815
50,Pau,Programmes  4 janvier    ,Stade Français / Pau,Rugby • TOP 14 sur Canal+ Sport,, 49min,,https://tv-sports.fr/moto-les-grands-prix-2022-tv-x884516?xea=63b52d5363977
51,Brighton & Hove Albion,Programmes  4 janvier    ,Everton / Brighton & Hove Albion,Foot • Premier League sur Canal+ Foot,Jeudi 26/01 • 16h00, 1h08min,Rediffusion,https://tv-sports.fr/en-attendant-greg-tv-x856369?xea=63b52d5363c6a
52,RMC Découverte,Programmes  4 janvier    ,Pêche XXL,Pêche • Chasing Monsters sur RMC Découverte,, 55min,,https://tv-sports.fr/peche-xxl-tv-x343283?xea=63b52d5363dfa
53,ES1,Programmes  4 janvier    ,Evo : Granblue fantasy,e-sport sur ES1,Aujourd'hui • 06h00, 15min,Rediffusion,https://tv-sports.fr/ca-se-passe-sur-bein-sports-tv-x171050?xea=63b52d5363f54
54,beIN SPORTS 1,Programmes  4 janvier    ,Court Central,Tennis sur beIN SPORTS 1,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d5363ae1
55,beIN SPORTS MAX 8,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 8,Samedi 21/01 • 00h45, 45min,Rediffusion,https://tv-sports.fr/court-central-tv-x882748?xea=63b52d536439a
56,Bournemouth,Programmes  4 janvier    ,Manchester United / Bournemouth,Foot • Premier League sur Canal + Premier League,,,,https://tv-sports.fr/utah-jazz-sacramento-kings-basket-ball-nba-2022-2023-tv-x884608?xea=63b52d536458d
57,Eurosport 2,Programmes  4 janvier    ,Saut à ski Tournée des 4 Tremplins 2022/2023,Saut à ski • Tournée des 4 Tremplins 2022/2023 sur Eurosport 2,,,,https://tv-sports.fr/lecce-lazio-rome-football-serie-a-2022-2023-tv-x884793
58,L'Equipe,Programmes  4 janvier    ,L'Equipe de Greg,Multisports sur L'Equipe,, 52min,,https://tv-sports.fr/paris-saclay-nice-metropole-judo-pro-league-2022-tv-x883922?xea=63b52d5367958
59,Canal + Multisports 1,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,,,,https://tv-sports.fr/as-roma-bologne-football-serie-a-2022-2023-tv-x884694
60,Sport en France,Programmes  4 janvier    ,Danse sportive Championnats de France 2022,Danse sportive • Championnats de France 2022 sur Sport en France,, 45min,,https://tv-sports.fr/ski-de-fond-epreuve-d-oberstdorf-2022-2023-tv-x884503?xea=63b52d536ac2c
61,Eurosport 1,Programmes  4 janvier    ,Ski de fond Epreuve d'Oberstdorf 2022/2023,Ski de fond • Epreuve d'Oberstdorf 2022/2023 sur Eurosport 1,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d5367ac1
62,Canal+ Sport 360,Programmes  4 janvier    ,Preview,Rallye • Rallye de Grèce sur Canal+ Sport 360,, 45min,,https://tv-sports.fr/ski-epreuve-de-zagreb-2022-2023-tv-x884698
63,L'Equipe,Programmes  4 janvier    ,L'Equipe de Greg,Multisports sur L'Equipe,,,,https://tv-sports.fr/sporting-braga-benfica-lisbonne-football-championnat-du-portugal-2022-2023-tv-x883809?xea=63b52d536b194
64,beIN SPORTS 1,Programmes  4 janvier    ,Ça se passe sur beIN SPORTS,Multisports sur beIN SPORTS 1,,,,https://tv-sports.fr/stade-francais-pau-rugby-top-14-2022-2023-tv-x883932?xea=63b52d536c776
65,Sport en France,Programmes  4 janvier    ,Team Orion - Team France,Bowling • Le Strike Tour 2022 sur Sport en France,,,,https://tv-sports.fr/everton-brighton-hove-albion-football-premier-league-2022-2023-tv-x884518?xea=63b52d536c995
66,Ankaragücü,Programmes  4 janvier    ,Galatasaray / Ankaragücü ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 6,, 55min,,https://tv-sports.fr/peche-xxl-tv-x394563?xea=63b52d536cb2b
67,Canal+ Sport 360,Programmes  4 janvier    ,Review,Rallye • Rallye de Grèce sur Canal+ Sport 360,, 1h05min,,https://tv-sports.fr/evo-granblue-fantasy-tv-x876117?xea=63b52d536cc8f
68,République tchèque féminine,Programmes  4 janvier    ,Egypte féminine / République tchèque féminine,Handball • Tournoi de France 2023 sur beIN SPORTS 1,Samedi 21/01 • 01h30, 45min,Rediffusion,https://tv-sports.fr/court-central-tv-x882742?xea=63b52d536d403
69,beIN SPORTS 3,Programmes  4 janvier    ,NBA Extra,Basket-ball sur beIN SPORTS 3,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d536ce1a
70,Canal + Top 14,Programmes  4 janvier    ,La chaîne du Top 14,Rugby sur Canal + Top 14,,,,https://tv-sports.fr/manchester-united-bournemouth-football-premier-league-2022-2023-tv-x884514?xea=63b52d536d5ea
71,ES1,Programmes  4 janvier    ,Evo : Granblue fantasy,e-sport sur ES1,, 1h,,https://tv-sports.fr/saut-a-ski-tournee-des-4-tremplins-2022-2023-tv-x884504?xea=63b52d536de9f
72,Canal + Multisports 1,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,Aujourd'hui • 06h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d536d778
73,RMC Sport 2,Programmes  4 janvier    ,Pépite RMC Sport,Multisports sur RMC Sport 2,, 1h15min,,https://tv-sports.fr/danse-sportive-championnats-de-france-2022-tv-x881720?xea=63b52d536e010
74,Monza,Programmes  4 janvier    ,Fiorentina / Monza ✨,Foot • Serie A sur beIN SPORTS MAX 5,, 45min,,https://tv-sports.fr/ski-de-fond-epreuve-d-oberstdorf-2022-2023-tv-x884503?xea=63b52d536e178
75,Brive,Programmes  4 janvier    ,Lyon / Brive,Rugby • TOP 14 sur Canal+ Sport,, 25min,,https://tv-sports.fr/preview-rallye-rallye-de-grece-2022-tv-x861036?xea=63b52d536e47e
76,Juventus Turin,Programmes  4 janvier    ,Cremonese / Juventus Turin 🌟,Foot • Serie A sur beIN SPORTS 2,Aujourd'hui • 06h00, 15min,Rediffusion,https://tv-sports.fr/ca-se-passe-sur-bein-sports-tv-x171050?xea=63b52d536e79c
77,Denys Berinchyk,Programmes  4 janvier    ,Yvan Mendy / Denys Berinchyk,Boxe • Championnat d'Europe EBU sur RMC Sport 2,, 31min,,https://tv-sports.fr/team-orion-team-france-bowling-le-strike-tour-2022-tv-x885403?xea=63b52d536eb49
78,beIN SPORTS MAX 4,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 4,,,,https://tv-sports.fr/galatasaray-ankaragucu-football-super-lig-2022-2023-tv-x884800
79,Bournemouth,Programmes  4 janvier    ,Manchester United / Bournemouth,Foot • Premier League sur Canal+ Foot,, 52min,,https://tv-sports.fr/review-rallye-rallye-de-grece-2022-tv-x860760?xea=63b52d53720cb
80,Eurosport 2,Programmes  4 janvier    ,Ski de fond Epreuve d'Oberstdorf 2022/2023,Ski de fond • Epreuve d'Oberstdorf 2022/2023 sur Eurosport 2,,,,https://tv-sports.fr/egypte-republique-tcheque-handball-tournoi-de-france-2023-tv-x884689
81,Newcastle,Programmes  4 janvier    ,Arsenal / Newcastle,Foot • Premier League sur Canal + Premier League,Aujourd'hui • 12h45, 45min,EN DIRECT,https://tv-sports.fr/nba-extra-tv-x868180?xea=63b52d53733a9
82,Washington Wizards,Programmes  4 janvier    ,Milwaukee Bucks / Washington Wizards,Basket • NBA sur beIN SPORTS 3,Aujourd'hui • 06h00, 5h,Rediffusion,https://tv-sports.fr/la-chaine-du-top-14-tv-x740078?xea=63b52d537225a
83,Nantes,Programmes  4 janvier    ,Olympiakos / Nantes,Foot • Europa League sur RMC Sport 1,, 1h05min,,https://tv-sports.fr/evo-granblue-fantasy-tv-x876117?xea=63b52d537369b
84,Canal+ Sport 360,Programmes  4 janvier    ,Zapsport 360,Multisports sur Canal+ Sport 360,Aujourd'hui • 06h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d53723c6
85,Canal + Multisports 3,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 3,Aujourd'hui • 10h30, 15min,Rediffusion,https://tv-sports.fr/pepite-rmc-sport-tv-x533045?xea=63b52d5373b12
86,Canal+ Sport 360,Programmes  4 janvier    ,Décrochage Daily Sport 360,Multisports sur Canal+ Sport 360,,,,https://tv-sports.fr/fiorentina-monza-football-serie-a-2022-2023-tv-x884799
87,ES1,Programmes  4 janvier    ,Pro Players by Brak,e-sport sur ES1,,,,https://tv-sports.fr/lyon-brive-rugby-top-14-2022-2023-tv-x883931?xea=63b52d5377364
88,Eurosport 2,Programmes  4 janvier    ,Ski de fond Epreuve d'Oberstdorf 2022/2023,Ski de fond • Epreuve d'Oberstdorf 2022/2023 sur Eurosport 2,,,,https://tv-sports.fr/cremonese-juventus-turin-football-serie-a-2022-2023-tv-x884695
89,David Avanesyan,Programmes  4 janvier    ,Terence Crawford / David Avanesyan,Boxe • Championnat du monde sur RMC Sport 2,,,,https://tv-sports.fr/yvan-mendy-denys-berinchyk-boxe-championnat-de-l-union-europeenne-2022-tv-x884701?xea=63b52d5386129
90,ES1,Programmes  4 janvier    ,Mini Race,e-sport sur ES1,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d537769c
91,France 4,Programmes  4 janvier    ,Ha'il - Ha'il,Rallye • Dakar sur France 4,,,,https://tv-sports.fr/manchester-united-bournemouth-football-premier-league-2022-2023-tv-x884514?xea=63b52d5386361
92,L'Equipe,Programmes  4 janvier    ,L'Equipe du soir,Multisports sur L'Equipe,, 45min,,https://tv-sports.fr/ski-de-fond-epreuve-d-oberstdorf-2022-2023-tv-x884503?xea=63b52d538665d
93,Eurosport 1,Programmes  4 janvier    ,Saut à ski Tournée des 4 Tremplins 2022/2023,Saut à ski • Tournée des 4 Tremplins 2022/2023 sur Eurosport 1,,,,https://tv-sports.fr/arsenal-newcastle-football-premier-league-2022-2023-tv-x884517?xea=63b52d5386841
94,France 3,Programmes  4 janvier    ,Image du jour du Dakar,Rallye-raid sur France 3,,,,https://tv-sports.fr/milwaukee-bucks-washington-wizards-basket-ball-nba-2022-2023-tv-x884500?xea=63b52d5388cef
95,Eurosport 2,Programmes  4 janvier    ,Ski Epreuve de Garmisch-Partenkirchen 2022/2023,Ski • Epreuve de Garmisch-Partenkirchen… sur Eurosport 2,Jeudi 26/01 • 17h00,,Rediffusion,https://tv-sports.fr/olympiakos-nantes-football-ligue-europa-2022-2023-tv-x871885?xea=63b52d538b983
96,beIN SPORTS 1,Programmes  4 janvier    ,Ça se passe sur beIN SPORTS,Multisports sur beIN SPORTS 1,Aujourd'hui • 13h56, 6min,Rediffusion,https://tv-sports.fr/zapsport-360-tv-x876397?xea=63b52d538ebbd
97,beIN SPORTS MAX 6,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 6,Aujourd'hui • 06h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d538ed5d
98,Canal + Multisports 1,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,, 15min,,https://tv-sports.fr/pro-players-by-brak-tv-x878761?xea=63b52d538f061
99,Canal+ Sport,Programmes  4 janvier    ,"Fedex Cup Playoffs, Film officiel 2022",Golf sur Canal+ Sport,, 45min,,https://tv-sports.fr/ski-de-fond-epreuve-d-oberstdorf-2022-2023-tv-x884503?xea=63b52d538f4e6
100,Sport en France,Programmes  4 janvier    ,Le meilleur de FTV,Multisports sur Sport en France,Aujourd'hui • 15h15,,Rediffusion,https://tv-sports.fr/terence-crawford-david-avanesyan-boxe-championnat-du-monde-wbo-2022-tv-x880996?xea=63b52d538f85d
101,beIN SPORTS 1,Programmes  4 janvier    ,Handball : avant-match,Handball sur beIN SPORTS 1,, 20min,,https://tv-sports.fr/mini-race-tv-x852088?xea=63b52d538f9fc
102,Sport en France,Programmes  4 janvier    ,Le meilleur de FTV,Multisports sur Sport en France,, 45min,,https://tv-sports.fr/ha-il-ha-il-573-km-rallye-rallye-dakar-2023-tv-x884664?xea=63b52d538ffaa
103,Canal + Premier League,Programmes  4 janvier    ,Multiplex,Foot • Premier League sur Canal + Premier League,Aujourd'hui • 19h45, 2h14min,EN DIRECT,https://tv-sports.fr/l-equipe-du-soir-tv-x397513
104,Sport en France,Programmes  4 janvier    ,Handball Championnat de France féminin 2022,Handball • Starligue sur Sport en France,, 1h,,https://tv-sports.fr/saut-a-ski-tournee-des-4-tremplins-2022-2023-tv-x884504?xea=63b52d53902e2
105,Equidia,Programmes  4 janvier    ,Le Grand direct,Hippisme sur Equidia,, 5min,,https://tv-sports.fr/image-du-jour-du-dakar-tv-x885004?xea=63b52d53905b9
106,Nottingham Forest,Programmes  4 janvier    ,Southampton / Nottingham Forest ✨,Foot • Premier League sur Canal + Multisports 3,, 1h,,https://tv-sports.fr/ski-epreuve-de-garmisch-partenkirchen-2022-2023-tv-x884699?xea=63b52d5393c93
107,beIN SPORTS 2,Programmes  4 janvier    ,Ça se passe sur beIN SPORTS,Multisports sur beIN SPORTS 2,Aujourd'hui • 06h00, 15min,Rediffusion,https://tv-sports.fr/ca-se-passe-sur-bein-sports-tv-x171050?xea=63b52d5393b29
108,Kansas,Programmes  4 janvier    ,Texas Tech / Kansas,Basket • NCAA sur beIN SPORTS 3,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d5390736
109,RMC Sport 1,Programmes  4 janvier    ,Les films RMC Sport,Football sur RMC Sport 1,Aujourd'hui • 06h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d53908a5
110,Sean Strickland,Programmes  4 janvier    ,Jared Cannonier / Sean Strickland,MMA • UFC sur RMC Sport 2,Dimanche 22/01 • 20h07, 48min,Rediffusion,https://tv-sports.fr/fedex-cup-playoffs-film-officiel-2022-tv-x882192?xea=63b52d5393fa0
111,beIN SPORTS MAX 5,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 5,, 8min,,https://tv-sports.fr/le-meilleur-de-ftv-tv-x864403?xea=63b52d53943fd
112,Empoli,Programmes  4 janvier    ,Udinese / Empoli ✨,Foot • Serie A sur beIN SPORTS MAX 4,Aujourd'hui • 17h15, 15min,EN DIRECT,https://tv-sports.fr/handball-avant-match-tv-x858401
113,West Ham,Programmes  4 janvier    ,Leeds / West Ham ✨,Foot • Premier League sur Canal + Multisports 2,, 6min,,https://tv-sports.fr/le-meilleur-de-ftv-tv-x863589?xea=63b52d539496a
114,Naples,Programmes  4 janvier    ,Inter Milan / Naples 🌟,Foot • Serie A sur beIN SPORTS 2,Samedi 21/01 • 16h00, 2h37min,EN DIRECT,https://tv-sports.fr/multiplex-football-premier-league-2022-2023-tv-x857030
115,France 3,Programmes  4 janvier    ,Tout le sport : Dakar,Rallye sur France 3,, 2h01min,,https://tv-sports.fr/handball-championnat-de-france-feminin-2022-tv-x831907
116,Eurosport 2,Programmes  4 janvier    ,Ski Epreuve de Garmisch-Partenkirchen 2022/2023,Ski • Epreuve de Garmisch-Partenkirchen… sur Eurosport 2,,,,https://tv-sports.fr/southampton-nottingham-forest-football-premier-league-2022-2023-tv-x884614
117,Pays-Bas féminine,Programmes  4 janvier    ,France féminine / Pays-Bas féminine,Handball • Tournoi de France 2023 sur beIN SPORTS 1,Aujourd'hui • 06h00, 15min,Rediffusion,https://tv-sports.fr/ca-se-passe-sur-bein-sports-tv-x171050?xea=63b52d539582b
