,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Modelo alfanumérico,Voltagem,Frequência,É smart,É curvo,Sistema operativo,Com cabos escondidos,Com sistema de montagem VESA incorporado,Largura x Profundidade x Altura,Peso,Largura com suporte,Profundidade com suporte,Altura com suporte,Peso com suporte,Quantidade de alto-falantes,Potência máxima dos alto-falantes,Modos de som,Com função screen share,Com comando de voz integrado,Assistentes virtuais integrados,Apps integradas,Tipo de tela,Tamanho da tela,Tipo de resolução,Com HDR,Resolução máxima,Relação de aspecto,Taxa de atualização da tela,Com USB,Com HDMI,Quantidade de portas HDMI,Quantidade de portas USB,Com Wi-Fi,Com Bluetooth,Com ethernet,Com entrada S/PDIF,Com entrada por vídeo componente,Com entrada por vídeo composto,Com entrada de antena RF,Acessórios incluídos,Linha,Cor,É 3D,É portátil,Com desligamento automático,Ângulo de visão horizontal,Ângulo de visão vertical,Com VGA,Quantidade de núcleos do processador,Relação de contraste,Capacidade de armazenamento,Número de registro/certificação INMETRO,É kit,Organismo de certificação (OCP),Número de certificado de segurança elétrica,Brilho,Tempo de resposta,Países com controle mágico incluido,Largura x Altura,Largura
20,Smart Tv LG Ai Thinq 43uq751c0sf Led 4k43 100v/240v,BR,4.8,Televisores,reales,2749,1979,28,1000,1979,(314 disponíveis),238,https://www.mercadolivre.com.br/smart-tv-lg-ai-thinq-43uq751c0sf-led-4k43-100v240v/p/MLB19625084?pdp_filters=category:MLB1002#searchVariation=MLB19625084&position=17&search_layout=grid&type=product&tr,06/04/2023 18:02:06,LG,43UQ751C,43UQ751C0SF,100V/240V,50 Hz x 60 Hz,Sim,Não,,,,,,,,,,,,,,,,,LED,"43 """,4K,Sim,,16:9,60 Hz,Sim,Sim,,,Sim,,,,,,,,AI ThinQ,Preto,Não,Não,,,,,,,,,,,,,,,,
21,"Smart TV Philco PTV42G52RCF LED Roku OS Full HD 42"" 110V/220V",BR,4.6,Televisores,reales,1755,1599,8,10,1599,(74 disponíveis),1022,https://www.mercadolivre.com.br/smart-tv-philco-ptv42g52rcf-led-roku-os-full-hd-42-110v220v/p/MLB18464771?pdp_filters=category:MLB1002#searchVariation=MLB18464771&position=18&search_layout=grid&type=p,06/04/2023 18:02:20,Philco,PTV42G52RCF,,110V/220V,,Sim,,Roku OS,,Sim,,,,,,,2,20 W,Dolby Audio,Sim,,,,LED,"42 """,Full HD,,1920 px - 1080 px,16:9,60 Hz,Sim,Sim,3,2,Sim,,Sim,Sim,,Sim,Sim,"Controle remoto, Cabo de alimentação, Parafusos, Base, Adaptador AV, Guia de instalação",,,,,Sim,170°,170°,,4,3000000:1,,,,,,220 cd/m²,8 ms,,,
22,"Smart TV Samsung UN32T4300AGXZD LED HD 32""",BR,4.7,Televisores,reales,2315,1269,45,10,1269,(948 disponíveis),1802,https://www.mercadolivre.com.br/smart-tv-samsung-un32t4300agxzd-led-hd-32/p/MLB15822520?pdp_filters=category:MLB1002#searchVariation=MLB15822520&position=19&search_layout=grid&type=product&tracking_id,06/04/2023 18:02:35,Samsung,UN32T4300A,UN32T4300AGXZD,100V/240V,,Sim,Não,Tizen,,Sim,737.4 mm x 74.1 mm x 438 mm,4 kg,737.4 mm,150.5 mm,465.4 mm,4.1 kg,2,10 W,Dolby Digital Plus,Sim,Não,,"Web browser, Netflix, Prime Video, Apple TV, YouTube, Spotify, SmartThings, Gallery, Samsung Promotion, GloboPlay",LED,"32 """,HD,Sim,1366 px - 768 px,16:9,,Sim,Sim,2,1,Sim,Não,Sim,Sim,Sim,Sim,Sim,"Control remoto TM1240A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,Sim,,,,,,,,,,,,,,,
23,"Smart TV Samsung UN50AU7700GXZD LED Tizen 4K 50"" 100V/240V",BR,4.7,Televisores,reales,3999,2599,35,10,2599,(1860 disponíveis),994,https://www.mercadolivre.com.br/smart-tv-samsung-un50au7700gxzd-led-tizen-4k-50-100v240v/p/MLB18464003?pdp_filters=category:MLB1002#searchVariation=MLB18464003&position=20&search_layout=grid&type=prod,06/04/2023 18:02:49,Samsung,UN50AU7700G,UN50AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,Sim,Sim,1116.8 mm x 59.9 mm x 644.2 mm,11.4 kg,1116.8 nm,250.2 mm,719.1 mm,11.6 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Alexa, Bixby, Google Assistant","Web browser, Gallery, Netflix, Prime Video, GloboPlay, Samsung TV Plus, YouTube, Apple TV, TELECINE, Disney+, DAZN, HBO Go, Spotify, Deezer",LED,"50 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Sim,Sim,Sim,Não,Não,Sim,"Smart control TM2180A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,,,,,,,,,,,,,,,,
24,"Smart TV Samsung Series 5 UN43T5300AGXZD LED Tizen Full HD 43"" 100V/240V",BR,4.8,Televisores,reales,3229,1899,41,10,1899,(464 disponíveis),678,https://www.mercadolivre.com.br/smart-tv-samsung-series-5-un43t5300agxzd-led-tizen-full-hd-43-100v240v/p/MLB15796379?pdp_filters=category:MLB1002#searchVariation=MLB15796379&position=21&search_layout=,06/04/2023 18:03:03,Samsung,UN43T5300,UN43T5300AGXZD,100V/240V,,Sim,,Tizen,,,979.9 mm x 77.3 mm x 571.9 mm,8 kg,979.9 mm,170.3 mm,596.6 mm,8.2 kg,2,40 W,Dolby Digital Plus,,,,"YouTube, Netflix, Web browser",LED,"43 """,Full HD,Sim,1920 px - 1080 px,16:9,,Sim,Sim,2,1,Sim,,Sim,Sim,Sim,Sim,Sim,"Controle remoto, Baterias, Cabo de alimentação",Series 5,,,,Sim,,,,,,,,,,,,,,,
25,"Smart TV Philips 7000 Series 50PUG7406/78 LED Android 10 4K 50"" 110V/240V",BR,4.6,Televisores,reales,3699,2281,38,10,2281,(962 disponíveis),895,https://www.mercadolivre.com.br/smart-tv-philips-7000-series-50pug740678-led-android-10-4k-50-110v240v/p/MLB18750740?pdp_filters=category:MLB1002#searchVariation=MLB18750740&position=22&search_layout=,06/04/2023 18:03:18,Philips,50PUG7406,50PUG7406/78,110V/240V,50 Hz x 60 Hz,Sim,,Android 10,,Sim,1113.04 mm x 87.2 mm x 647.3 mm,11.3 kg,1113.04 mm,248 mm,678 mm,11.5 kg,2,20 W,"Dolby Atmos, AI Sound",,Sim,,"Prime Video, Netflix, YouTube, Disney+, Google Play Store",LED,"50 """,4K,Sim,3840 px - 2160 px,16:9,,Sim,Sim,4,2,Sim,Sim,Sim,Sim,,Sim,Sim,"Controle remoto, Baterias, Cabo de alimentação, Guia de instalação, Suporte para mesa, Manual",7000 Series,,,,Sim,,,,4,,8 GB,,,,,,,,,
26,"Smart TV Toshiba 32V35KB DLED Vidaa HD 32"" 100V/240V",BR,4.7,Televisores,reales,1499,1109,26,1000,1109,(150 disponíveis),194,https://www.mercadolivre.com.br/smart-tv-toshiba-32v35kb-dled-vidaa-hd-32-100v240v/p/MLB18574399?pdp_filters=category:MLB1002#searchVariation=MLB18574399&position=23&search_layout=grid&type=product&tr,06/04/2023 18:03:32,Toshiba,TB007,32V35KB,100V/240V,50 Hz x 60 Hz,Sim,,Vidaa,,Sim,716 mm x 86 mm x 427 mm,3.8 kg,716 mm,186 mm,473 mm,3.9 kg,,12 W,"Dolby Audio, DTS-HD",Sim,Não,,"Netflix, Prime Video, YouTube",DLED,"32 """,HD,Sim,1366 px - 768 px,16:9,60 Hz,Sim,Sim,2,2,Sim,Não,Sim,Sim,,Sim,,Receptor canal digital DTV,,,,,,178°,178°,,4,3000:1,4 GB,,,,,189 cd/m²,8 ms,,,
27,"Smart TV TCL S61-Series 32S615 LED Android Pie HD 32"" 100V/240V",BR,4.6,Televisores,reales,1549,1129,27,10,1129,(1259 disponíveis),755,https://www.mercadolivre.com.br/smart-tv-tcl-s61-series-32s615-led-android-pie-hd-32-100v240v/p/MLB18554147?pdp_filters=category:MLB1002#searchVariation=MLB18554147&position=24&search_layout=grid&type,06/04/2023 18:03:46,TCL,32S615,,100V/240V,50 Hz x 60 Hz,Sim,,Android Pie,,Sim,,3.7 kg,721 mm,180 mm,473 mm,,2,20 W,"Dolby Digital Plus, Dolby Audio",Sim,Sim,,"Web browser, Google Play Movies & TV, Netflix, YouTube, Google Play Store, HbbTV",LED,"32 """,HD,Sim,1366 px - 768 px,16:9,,Sim,Sim,2,1,Sim,Sim,Sim,Sim,Sim,,Sim,Controle remoto RC802N4,S61-Series,,,,Sim,,,,4,,8 GB,,,,,,,,721 mm x 430 mm,
28,Android Tv Led 43  Tcl S615 Full Hd Com Google Assistant,BR,4.8,Televisores,reales,2339,1736,25,1000,1736,(267 disponíveis),206,https://www.mercadolivre.com.br/android-tv-led-43-tcl-s615-full-hd-com-google-assistant/p/MLB19825593?pdp_filters=category:MLB1002#searchVariation=MLB19825593&position=25&search_layout=grid&type=produ,06/04/2023 18:03:59,TCL,43S615,43 S615,100V/240V,,Sim,Não,Android,,,96.7 cm x 8.6 cm x 57 cm,6.8 kg,96.7 cm,19 cm,62 cm,7.5 kg,,,Stereo,,Sim,,,LED,"43 """,Full HD,Sim,,,60 Hz,Sim,Sim,,,Sim,Sim,Sim,,,,Sim,Controle remoto,S615,Chumbo,Não,Não,,,,,,,,,,,,,,,,
29,"Smart TV Aiwa AWS-TV-32-BL-02-A IPS Android 11 HD 32"" 110V/220V",BR,4.7,Televisores,reales,2220,1171,47,1000,1171,(32 disponíveis),221,https://www.mercadolivre.com.br/smart-tv-aiwa-aws-tv-32-bl-02-a-ips-android-11-hd-32-110v220v/p/MLB19955269?pdp_filters=category:MLB1002#searchVariation=MLB19955269&position=26&search_layout=grid&type,06/04/2023 18:04:12,Aiwa,AWS-TV-32-BL-02-A,,110V/220V,,Sim,Não,Android 11,,,72.6 cm x 3.1 cm x 42.6 cm,,72.6 cm,6.8 cm,47.4 cm,,2,12 W,"Dolby Audio, Surround, SAP, DTS, Dolby Digital, Dolby Digital Plus",Sim,Sim,Google Assistant,"Netflix, Prime Video, YouTube, YouTube Music, Google Play Store, Google Play Games, Google Play Movies & TV",IPS,"32 """,HD,Sim,1366 px - 768 px,16:9,60 Hz,Sim,Sim,2,2,Sim,Sim,Sim,Sim,,Sim,Sim,Controle remoto,,,,,Sim,178°,178°,,4,60000:1,,,,,,180 cd/m²,,,,
30,"Smart TV Philco PTV32G70RCH LED Roku OS HD 32"" 110V/220V",BR,4.7,Televisores,reales,1699,1149,32,10,1149,(1455 disponíveis),1140,https://www.mercadolivre.com.br/smart-tv-philco-ptv32g70rch-led-roku-os-hd-32-110v220v/p/MLB18606132?pdp_filters=category:MLB1002#searchVariation=MLB18606132&position=27&search_layout=grid&type=produc,06/04/2023 18:04:27,Philco,PTV32G70RCH,,110V/220V,,Sim,,Roku OS,,Sim,720 mm x 82 mm x 424 mm,3.9 kg,720 mm,182 mm,470 mm,,2,20 W,Dolby Audio,Sim,,,"GloboPlay, Netflix, YouTube",LED,"32 """,HD,,1366 px - 768 px,16:9,60 Hz,Sim,Sim,2,1,Sim,,Sim,Sim,Sim,,Sim,"Controle remoto, Cabo de alimentação, Guia de instalação, Base, Parafusos",,,,,Sim,170°,170°,,4,5000000:1,,,,,,200 cd/m²,20 ms,,,
31,"Smart TV Philco PTV40G65RCH LED Roku OS Full HD 40"" 110V/220V",BR,4.7,Televisores,reales,1899,1572,17,1000,1572,(442 disponíveis),225,https://www.mercadolivre.com.br/smart-tv-philco-ptv40g65rch-led-roku-os-full-hd-40-110v220v/p/MLB19310748?pdp_filters=category:MLB1002#searchVariation=MLB19310748&position=28&search_layout=grid&type=p,06/04/2023 18:04:42,Philco,PTV40G65RCH,,110V/220V,,Sim,Não,Roku OS,,Sim,905 mm x 85 mm x 515 mm,5.51 kg,905 mm,210 mm,565 mm,5.59 kg,2,20 W,Dolby Audio,Sim,,,"Netflix, Web browser, Directv GO",LED,"40 """,Full HD,,1920 px - 1080 px,16:9,60 Hz,Sim,Sim,3,2,Sim,,Sim,Sim,,Sim,Sim,,,,,,,170°,170°,,4,5000000:1,,,,,,220 cd/m²,9.5 ms,,,
32,Tv Portátil Digital 14 Polegadas Led Hd Usb Hdmi Sd Monitor,BR,4.5,Televisores,reales,,549,24,500,549,(96 disponíveis),107,https://www.mercadolivre.com.br/tv-portatil-digital-14-polegadas-led-hd-usb-hdmi-sd-monitor/p/MLB19713572?pdp_filters=category:MLB1002#searchVariation=MLB19713572&position=29&search_layout=grid&type=p,06/04/2023 18:04:54,Knup,kp-tv14,KP-TV14,100V/240V,,Não,Não,,,,,,,,,,,,,,,,,LCD,"14 """,HD,,,,,Sim,Sim,,,,,,,,,,,,Preto,Não,Sim,,,,,,,,,,,,,,,,
33,"Smart TV LG AI ThinQ 50UQ8050PSB LCD webOS 2.2 4K 50"" 100V/240V",BR,4.8,Televisores,reales,3944,2635,33,1000,2635,(554 disponíveis),416,https://www.mercadolivre.com.br/smart-tv-lg-ai-thinq-50uq8050psb-lcd-webos-22-4k-50-100v240v/p/MLB19563561?pdp_filters=category:MLB1002#searchVariation=MLB19563561&position=30&search_layout=grid&type=,06/04/2023 18:05:08,LG,50UQ8050,50UQ8050PSB,100V/240V,,Sim,Não,webOS 2.2,,Sim,112.1 cm x 5.71 cm x 65.1 cm,11.7 kg,112.1 cm,23.1 cm,71.3 cm,11.9 kg,2,20 W,"Ultra Surround, AI Sound, Clear Voice Pro, AI Acoustic Tuning, LG Sound Sync",Sim,Sim,ThinQ AI,"Netflix, Prime Video, Disney+, LG Content Store, Music Player, Web browser",LCD,"50 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,,Sim,Sim,Sim,Sim,Não,,Sim,"Controle remoto, Cabo de alimentação, Guia de instalação, Parafusos, Manual",AI ThinQ,,,,Sim,,,,4,,8 GB,,,,,,,Brasil,,
34,Smart Tv Roku Led Hd 32'' Wi-fi 3 Hdmi 1 Usb 32s5195/78g Aoc,BR,4.6,Televisores,reales,1499,1199,20,10,1199,(967 disponíveis),467,https://www.mercadolivre.com.br/smart-tv-roku-led-hd-32-wi-fi-3-hdmi-1-usb-32s519578g-aoc/p/MLB20813955?pdp_filters=category:MLB1002#searchVariation=MLB20813955&position=31&search_layout=grid&type=pro,06/04/2023 18:05:22,AOC,32S5195,32S5195/78G,110V/220V,,Sim,Não,,,Sim,73.18 cm x 7.73 cm x 43.53 cm,4.23 kg,731.8 cm,167.36 cm,476.3 cm,,2,10 W,"Mono, SAP, Stereo",Sim,,,"Apple TV, Google Play Store, HBO, Netflix, Spotify, Web browser, YouTube",LED,"32 """,HD,Não,1366 px - 768 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Não,Sim,Sim,,Sim,Sim,"Controle remoto, Cabo de alimentação",5195/78G,Preto,Não,Não,,178°,178°,,,,,,,,,180 cd/m²,20 ms,,,
35,"Smart TV LG 55UQ801C0SB LCD 4K 55"" 100V/240V",BR,4.8,Televisores,reales,3299,2639,20,1000,2639,(96 disponíveis),417,https://www.mercadolivre.com.br/smart-tv-lg-55uq801c0sb-lcd-4k-55-100v240v/p/MLB19641718?pdp_filters=category:MLB1002#searchVariation=MLB19641718&position=32&search_layout=grid&type=product&tracking_i,06/04/2023 18:05:36,LG,55UQ801,55UQ801C0SB,100V/240V,50 Hz x 60 Hz,Sim,Não,,,Sim,1235 mm x 57.5 mm x 715 mm,14 kg,1235 mm,231 mm,776 mm,14.2 kg,2,20 W,"AI Sound, Dolby Digital, Clear Voice Pro",Sim,Sim,ThinQ AI,,LCD,"55 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Sim,,Sim,Sim,Control remoto MR22,,,,,Sim,,,,,,,,,,,300 cd/m²,,Colômbia,,
36,"Smart TV LG 55NANO80SQA LED webOS 22 4K 55"" 100V/240V",BR,4.9,Televisores,reales,5298,2999,43,100,2999,(112 disponíveis),15,https://www.mercadolivre.com.br/smart-tv-lg-55nano80sqa-led-webos-22-4k-55-100v240v/p/MLB21284700?pdp_filters=category:MLB1002#searchVariation=MLB21284700&position=33&search_layout=grid&type=product&t,06/04/2023 18:05:49,LG,55NANO80,55NANO80SQA,100V/240V,50 Hz x 60 Hz,Sim,Não,webOS 22,,Sim,1233 mm x 44.2 mm x 716 mm,16.3 kg,1233 mm,257 mm,781 mm,16.7 kg,2,20 W,"LG Sound Sync, AI Sound Pro, AI Acoustic Tuning, Dolby Digital, Clear Voice Pro, Sound Share, Ultra Surround",Sim,Sim,ThinQ AI,"LG Content Store, Music, Web browser, LG Channels, Netflix, Prime Video, Disney+, Apple TV+, HBO Max, Claro Video, Directv GO, YouTube",LED,"55 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,4,2,Sim,Sim,Sim,Sim,,,Sim,"Controle remoto, Cabo de alimentação, Guia de instalação, Parafusos, Manual, Baterias, Base",,,,,Sim,,,,4,,,,,,,,,"Brasil, México, Chile, Colômbia",,
37,"Smart TV Samsung UN60AU7700GXZD LED Tizen 4K 60"" 100V/240V",BR,4.8,Televisores,reales,4999,3289,34,1000,3289,(217 disponíveis),97,https://www.mercadolivre.com.br/smart-tv-samsung-un60au7700gxzd-led-tizen-4k-60-100v240v/p/MLB18522922?pdp_filters=category:MLB1002#searchVariation=MLB18522922&position=34&search_layout=grid&type=prod,06/04/2023 18:06:02,Samsung,UN60AU7700G,UN60AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,,Tizen,Sim,Sim,1351.3 mm x 59.9 mm x 775.1 mm,17.2 kg,1351.3 mm,282.1 mm,852.8 mm,17.5 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Bixby, Alexa, Google Assistant","Web browser, Gallery, Netflix, Prime Video, Samsung TV Plus, YouTube, GloboPlay, TELECINE, Disney+, DAZN, HBO Go, Spotify, Deezer, Apple TV",LED,"60 """,4K,Sim,3840 px - 2160 px,16:9,,Sim,Sim,3,1,Sim,Sim,Sim,Sim,,,Sim,"Smart control TM2180A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,Sim,,,,,,,,,,,,,,,
38,Smart Tv Aoc Led 43 Full Hd Wi-fi Usb Hdmi Roku 43s5135/78g,BR,None,Televisores,reales,1999,1829,8,25,1829,(531 disponíveis),,https://www.mercadolivre.com.br/smart-tv-aoc-led-43-full-hd-wi-fi-usb-hdmi-roku-43s513578g/p/MLB22376352?pdp_filters=category:MLB1002#searchVariation=MLB22376352&position=35&search_layout=grid&type=pr,06/04/2023 18:06:15,AOC,43S5135/78G,,110V/220V,60 Hz,Sim,Não,Roku OS,,Sim,95.8 cm x 8.21 cm x 60 cm,6.95 kg,95.83 cm,23.74 cm,60 cm,,2,16 W,Dolby Digital,Sim,,,,LED,"43 """,Full HD,,1920 px - 1080 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Não,Sim,,,,,,,Preto,Não,,Sim,178°,178°,,,200000:1,,,,,,230 cd/m²,,,,
39,"Smart TV LG AI ThinQ 75UQ8050PSB LCD webOS 22 4K 75"" 100V/240V",BR,5.0,Televisores,reales,8299,5999,27,100,5999,(19 disponíveis),5,https://www.mercadolivre.com.br/smart-tv-lg-ai-thinq-75uq8050psb-lcd-webos-22-4k-75-100v240v/p/MLB19795159?pdp_filters=category:MLB1002#searchVariation=MLB19795159&position=36&search_layout=grid&type=,06/04/2023 18:06:29,LG,75UQ8050,75UQ8050PSB,100V/240V,50 Hz x 60 Hz,Sim,Não,webOS 22,,Sim,1678 mm x 60 mm x 964 mm,31.4 kg,1678 mm,361 mm,1027 mm,31.8 kg,2,20 W,"AI Sound, LG Sound Sync, AI Acoustic Tuning, AI Sound Pro, Clear Voice Pro, Sound Share, Dolby Digital, Ultra Surround",Sim,Sim,ThinQ AI,"LG Content Store, Music Player, Web browser, LG Channels, Gallery, Netflix, YouTube, Prime Video, Disney+, Apple TV, HBO Max, Claro Video, Directv GO",LCD,"75 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,,Sim,Sim,Sim,Sim,,,Sim,"Cabo de alimentação, Guia de instalação, Controle remoto, Manual, Parafusos, Baterias, Base",AI ThinQ,,,,,,,,4,,,,,,,,,"Brasil, México, Chile, Colômbia, Uruguay",,
40,"Smart TV Samsung Neo QLED 4K QN43QN90BAGCZB QLED Tizen 4K 43"" 220V - 240V",BR,4.7,Televisores,reales,6149,3699,39,100,3699,(47 disponíveis),38,https://www.mercadolivre.com.br/smart-tv-samsung-neo-qled-4k-qn43qn90bagczb-qled-tizen-4k-43-220v-240v/p/MLB19787254?pdp_filters=category:MLB1002#searchVariation=MLB19787254&position=37&search_layout=,06/04/2023 18:06:43,Samsung,QN43QN90BAG,QN43QN90BAGCZB,220V - 240V,50 Hz x 60 Hz,Sim,Não,Tizen,,Sim,960.8 mm x 26.9 mm x 558.9 mm,9.2 kg,960.8 mm,223 mm,623.4 mm,13.8 kg,2,20 W,"Dolby Atmos, Dolby Digital Plus, Adaptive Sound +, OTS-Lite, Q-Symphony, Surround",Sim,Sim,Bixby,"SmartThings, Web browser",QLED,"43 """,4K,Sim,3840 px - 2160 px,16:9,100 Hz,Sim,Sim,4,2,Sim,Sim,Sim,Sim,,,Sim,"Smart control TM2280E, Manual eletronico, Manual, Cabo de alimentação",Neo QLED 4K,,,,Sim,,,,,,,,,,,,,,,
41,"Smart TV Samsung BET-B LH32BETBLGGXZD LED HD 32""",BR,4.7,Televisores,reales,,1099,45,10,1099,(1000 disponíveis),2097,https://www.mercadolivre.com.br/smart-tv-samsung-bet-b-lh32betblggxzd-led-hd-32/p/MLB15828219?pdp_filters=category:MLB1002#searchVariation=MLB15828219&position=38&search_layout=grid&type=product&track,06/04/2023 18:06:56,Samsung,BE32T-B,LH32BETBLGGXZD,100V/240V,,Sim,,Tizen,,,,,73.7 cm,,46.5 cm,4.1 kg,2,10 W,Dolby Digital Plus,,,,YouTube,LED,"32 """,HD,Sim,1280 px - 720 px,16:9,,Sim,Sim,2,1,Sim,,Sim,,,,,"Controle remoto, Baterias, Cabo de alimentação, Manual",BET-B,,,,,,,,,4700:1,,,,,,,,,,73.7 cm
42,Tv Portátil Digital 15 Polegadas Led Hd Usb Hdmi Sd Monitor,BR,4.6,Televisores,reales,,615,24,500,615,None,50,https://www.mercadolivre.com.br/tv-portatil-digital-15-polegadas-led-hd-usb-hdmi-sd-monitor/p/MLB19861576?pdp_filters=category:MLB1002#searchVariation=MLB19861576&position=39&search_layout=grid&type=p,06/04/2023 18:07:09,Tomate,Televisão Televisor Segunda Tela Conversor,MTM-1540,110V/220V,,Não,Não,,Não,Não,35 cm x 3 cm x 24 cm,1.15 kg,,,,,2,2 W,Stereo,Não,Não,,,LED,"15.4 """,HD,Não,1368 px - 770 px,,,Sim,Sim,1,1,Não,Não,Não,,,,,,Caminhão Van Escolar Perua Carro,Preto,Não,Sim,Não,,,Sim,,,,,,,,,,Brasil,,
43,"Smart TV TCL P635-Series 50P635 LED 4K 50"" 100V/240V",BR,4.8,Televisores,reales,2899,2249,22,1000,2249,(1112 disponíveis),257,https://www.mercadolivre.com.br/smart-tv-tcl-p635-series-50p635-led-4k-50-100v240v/p/MLB19538900?pdp_filters=category:MLB1002#searchVariation=MLB19538900&position=40&search_layout=grid&type=product&tr,06/04/2023 18:07:23,TCL,50P635,,100V/240V,50 Hz x 60 Hz,Sim,Não,,,Sim,1112 mm x 81 mm x 645 mm,,1112 mm,257 mm,690 mm,8.6 kg,,,Dolby Audio,Sim,Sim,Google Assistant,"Netflix, YouTube, Prime Video",LED,"50 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Sim,,,Sim,,P635-Series,,,,,,,,,5000:1,,,,,,330 cd/m²,,,,
44,"Smart TV Samsung UN55AU7700GXZD LED Tizen 4K 55"" 100V/240V",BR,4.8,Televisores,reales,4099,2919,28,5,2919,(482 disponíveis),422,https://www.mercadolivre.com.br/smart-tv-samsung-un55au7700gxzd-led-tizen-4k-55-100v240v/p/MLB18059268?pdp_filters=category:MLB1002#searchVariation=MLB18059268&position=41&search_layout=grid&type=prod,06/04/2023 18:07:36,Samsung,UN55AU7700,UN55AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,Sim,Sim,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Bixby, Alexa, Google Assistant","Samsung TV Plus, Netflix, Prime Video, Hulu, Apple TV, Disney+, HBO Max, YouTube, Vudu, YouTube TV, ESPN, Samsung Health, Web browser, Gallery, GloboPlay, TELECINE, DAZN, HBO Go, Spotify, Deezer",LED,"55 """,4K,Sim,3840 px - 2160 px,16:9,,Sim,Sim,3,1,Sim,Sim,Sim,Sim,Não,Não,Sim,"Smart control TM2180A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,,,,,,,,,,,,,,,,
45,"Smart TV TCL S40-Series 40S615 LED Android Pie Full HD 40"" 100V/240V",BR,4.6,Televisores,reales,2799,1599,42,5,1599,(575 disponíveis),366,https://www.mercadolivre.com.br/smart-tv-tcl-s40-series-40s615-led-android-pie-full-hd-40-100v240v/p/MLB18574400?pdp_filters=category:MLB1002#searchVariation=MLB18574400&position=42&search_layout=grid,06/04/2023 18:07:50,TCL,40S615,,100V/240V,50 Hz x 60 Hz,Sim,,Android Pie,,Sim,900.9 mm x 74.1 mm x 516.3 mm,6.5 kg,900.9 mm,179.9 mm,574.1 mm,6.55 kg,2,16 W,"Dolby Audio, Standard",Sim,Sim,"Google Assistant, AI-IN","Google Play Store, YouTube, Google Play Games, Google Play Movies & TV, Prime Video, Netflix, Stan, Media Center, Freeview Plus, GloboPlay",LED,"40 """,Full HD,Sim,1920 px - 1080 px,16:9,50 Hz,Sim,Sim,2,1,Sim,Sim,Sim,Sim,,Sim,,"Control remoto RC802N, Baterias, Manual, Cabo de alimentação, Guia de instalação",S40-Series,,,,,178°,178°,,,4000:1,8 GB,,,,,270 cd/m²,6.5 ms,,,
46,Smart Tv 48'' 4k Oled48c2 Evo 120hz Nvidia LG Bivolt,BR,5.0,Televisores,reales,8999,4499,50,100,4499,(285 disponíveis),16,https://www.mercadolivre.com.br/smart-tv-48-4k-oled48c2-evo-120hz-nvidia-lg-bivolt/p/MLB20934942?pdp_filters=category:MLB1002#searchVariation=MLB20934942&position=43&search_layout=grid&type=product&tr,06/04/2023 18:08:05,LG,OLED48C2,OLED48C2PSA,100V/240V,,Sim,Não,,,,,,,,,,,,,,,,,OLED,"48 """,4K,Sim,3840 px - 2160 px,,120 Hz,Sim,Sim,,,Sim,,,,,,,,Evo,Preto,Não,Não,,,,,,,,,,,,,1 ms,,,
