,Country Code,brand,Model#,title,number_of_offers,average_price,currency,Date added,category,scrape_date,scrape_link,Specification,Specification Value
21,KU,Hisense,85A7500WF,Hisense 85 85A7500WF UHD 4K Smart TV,1,462.77,KWD,Jan-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/hisense-85-85a7500wf-uhd-4k-smart-tv-price-in-kuwait-6273159?ref=quicklinks,Product Type,Smart TV
22,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,price,197.26
23,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Display Resolution,Ultra HD (4K)
24,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Screen Size,55u0026quot;
25,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Special Features,"Internet Connectivity,Wifi,Without 3D,Smart TV"
26,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Display Technology,LED
27,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Color,Black
28,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,USB Port,2
29,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,HDMI input,3
30,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Wi-Fi,Yes
31,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Screen Resolution,3840 x 2160
32,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Product Type,Smart TV
33,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Refresh Rate,60 HZ
34,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,TV Type,4K
35,KU,Samsung,AU8000 | UA55AU8000 | UA55AU8000UXZN,Samsung Series AU8000 55-inch Smart UHD LED TV UA55AU8000 UA55AU8000UXZN,1,197.26,KWD,Sep-21,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-series-au8000-55-inch-smart-uhd-led-tv-ua55au8000-price-in-kuwait-6746131?ref=quicklinks,Screen Type,4K Flat
36,KU,Samsung,UA65TU7000,Samsung 65'' Crystal UHD 4K Smart TV UA65TU7000,1,243.96,KWD,Aug-20,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-65-crystal-uhd-4k-smart-tv-ua65tu7000-price-in-kuwait-5908746?ref=quicklinks,price,243.96
37,KU,Samsung,UA65TU7000,Samsung 65'' Crystal UHD 4K Smart TV UA65TU7000,1,243.96,KWD,Aug-20,Television,22/09/2022 09:33,https://kw.pricena.com/en/product/samsung-65-crystal-uhd-4k-smart-tv-ua65tu7000-price-in-kuwait-5908746?ref=quicklinks,Display Resolution,Ultra HD (4K)
