,country,brand,Model#,title,offers,avg_price,currency,Date added,category,date_scraped,scrape_link,level_11,0
31,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Color Depth,nan
32,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,model series,nan
33,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,connectivity technology,nan
34,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,connectivity port,nan
35,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,enclosure color,nan
36,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,compatible accessories,nan
37,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,display backlight,nan
38,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,pre-installed apps,nan
39,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Special Price,nan
40,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,height length,nan
41,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Barcode-1,nan
42,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Base Price Ex Vat,nan
43,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Box Height,nan
44,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Box Length,nan
45,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Box Width,nan
46,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Discountable,nan
47,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Enable Product,nan
48,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,International Shipping,nan
49,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Is Protection Service,nan
50,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Item Warranty Code,nan
51,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Jarir Product Update At,nan
52,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Meta Description,nan
53,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Price Exclusive Tax,nan
54,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Product Code Description,nan
55,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Product Save,nan
56,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Promotion Value,nan
57,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Protection Service SKU,nan
58,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Special Price From Date,nan
59,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Special Price To Date,nan
60,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,color family,nan
61,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,ring type,nan
62,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,touch display,nan
63,SA,None,nan,Netflix 25 USD,1,106.24,SAR,July 2022,TV,24/03/2023 08:52:46,https://sa.pricena.com/en/product/netflix-25-usd-price-in-saudi-arabia-57278882,Barcode-2,nan
