,country,category,brand,title,reference,no_offers,avg_price,currency,Çıkış Yılı,scrape_time,scrape_link,level_11,0
18,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Karasal Alıcı (DVB-T),Var
19,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Kablo TV (DVB-C),Var
20,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HD Uydu Alıcı (DVB-S2),Var
21,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HD Karasal Alıcı (DVB-T2),Var
22,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Dahili Wi-Fi,Var
23,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Wi-Fi Özellikleri,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct"
24,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,DLNA,Var
25,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,Ethernet / LAN Kablo Girişi,Var
26,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,USB 2.0 Girişleri,2 Adet
27,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,2022,09/04/2023 22:46:55,https://www.epey.com/televizyon/samsung-55q80b.html,HDMI 2.0 Girişleri,4 Adet
